count_column	count_column_index	stanford_uuid	technical_replicate	donor_id	case_id	tissue_barcode	tissue_sample_type	published_qc_pass	has_rna_seq	raw_reads	final_dedup_reads	tss_enrichment_score	frip	aliquot_id
LUAD_DFDCD538_5828_437C_A2DA_E0FA86DF1577_X004_S01_L044_B1_T2_P001	41	DFDCD538-5828-437C-A2DA-E0FA86DF1577	T2	TCGA-MP-A4SV	706420c4-8820-4b41-80d9-f3efd1d2a4f0	TCGA-MP-A4SV-01A-22-A602-42	Primary Solid Tumor	TRUE	TRUE	70312594	49296934	5.23543380990525	0.239809515005599	TCGA-MP-A4SV-01A-22-A602-42
LUAD_6C75D43E_820A_490B_8BBA_8D3DCF19ACE5_X039_S12_L119_B1_T1_P100	22	6C75D43E-820A-490B-8BBA-8D3DCF19ACE5	T1	TCGA-MP-A4T4	301ca6e8-7981-4264-b4ae-38f56f7f9225	TCGA-MP-A4T4-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	91052562	70384124	4.50092539586928	0.221546689802723	TCGA-MP-A4T4-01A-22-A646-42
LUAD_6C75D43E_820A_490B_8BBA_8D3DCF19ACE5_X039_S12_L120_B1_T2_P091	23	6C75D43E-820A-490B-8BBA-8D3DCF19ACE5	T2	TCGA-MP-A4T4	301ca6e8-7981-4264-b4ae-38f56f7f9225	TCGA-MP-A4T4-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	92723136	70605034	5.29762975290965	0.234135763529904	TCGA-MP-A4T4-01A-22-A646-42
LUAD_07B8C449_3062_436F_8274_4C27887BF8AB_X026_S01_L051_B1_T1_P064	6	07B8C449-3062-436F-8274-4C27887BF8AB	T1	TCGA-MP-A4T7	47062ad2-ba82-45c8-a871-bdea84f0c405	TCGA-MP-A4T7-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	68409698	50404602	8.3247276866237	0.347283758741378	TCGA-MP-A4T7-01A-22-A646-42
LUAD_07B8C449_3062_436F_8274_4C27887BF8AB_X026_S01_L052_B1_T2_P066	7	07B8C449-3062-436F-8274-4C27887BF8AB	T2	TCGA-MP-A4T7	47062ad2-ba82-45c8-a871-bdea84f0c405	TCGA-MP-A4T7-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	54487246	42210086	7.70342328993906	0.333503790739921	TCGA-MP-A4T7-01A-22-A646-42
LUAD_8B7E9FCA_C6CF_45A8_8A9B_646198BB6495_X032_S03_L074_B1_T1_P070	30	8B7E9FCA-C6CF-45A8-8A9B-646198BB6495	T1	TCGA-MP-A4TE	bebd0025-74e2-451b-93b3-86f82df43573	TCGA-MP-A4TE-01A-12-A646-42	Primary Solid Tumor	TRUE	TRUE	92640730	69557526	9.57114450890647	0.421583331562947	TCGA-MP-A4TE-01A-12-A646-42
LUAD_8B7E9FCA_C6CF_45A8_8A9B_646198BB6495_X032_S03_L075_B1_T2_P082	31	8B7E9FCA-C6CF-45A8-8A9B-646198BB6495	T2	TCGA-MP-A4TE	bebd0025-74e2-451b-93b3-86f82df43573	TCGA-MP-A4TE-01A-12-A646-42	Primary Solid Tumor	TRUE	TRUE	86037608	63820204	9.47654042910453	0.412747894917552	TCGA-MP-A4TE-01A-12-A646-42
LUAD_A1ABC0B2_D7F8_45B5_B431_AE23B19B8DED_X031_S05_L056_B1_T1_P075	36	A1ABC0B2-D7F8-45B5-B431-AE23B19B8DED	T1	TCGA-MP-A4TF	86dac334-f30e-438e-810a-8e45f69dbb7e	TCGA-MP-A4TF-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	72938354	52053230	8.11653037671837	0.318565932162413	TCGA-MP-A4TF-01A-22-A646-42
LUAD_A1ABC0B2_D7F8_45B5_B431_AE23B19B8DED_X031_S05_L057_B1_T2_P071	37	A1ABC0B2-D7F8-45B5-B431-AE23B19B8DED	T2	TCGA-MP-A4TF	86dac334-f30e-438e-810a-8e45f69dbb7e	TCGA-MP-A4TF-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	67389944	48913166	8.24452567422199	0.324809515819337	TCGA-MP-A4TF-01A-22-A646-42
LUAD_F2B26D56_4853_423E_AC90_9DB4AD7CE9EE_X030_S03_L029_B1_T1_P079	48	F2B26D56-4853-423E-AC90-9DB4AD7CE9EE	T1	TCGA-NJ-A4YG	7fd03220-531e-4ef8-beca-e9703e8c0ae1	TCGA-NJ-A4YG-01A-12-A646-42	Primary Solid Tumor	TRUE	TRUE	75158986	56616254	7.1021394993415	0.271235302677882	TCGA-NJ-A4YG-01A-12-A646-42
LUAD_F2B26D56_4853_423E_AC90_9DB4AD7CE9EE_X030_S03_L030_B1_T2_P072	49	F2B26D56-4853-423E-AC90-9DB4AD7CE9EE	T2	TCGA-NJ-A4YG	7fd03220-531e-4ef8-beca-e9703e8c0ae1	TCGA-NJ-A4YG-01A-12-A646-42	Primary Solid Tumor	TRUE	TRUE	78638396	60383324	7.37018098851449	0.27580469371179	TCGA-NJ-A4YG-01A-12-A646-42
