system	TF	TF_role	n_all_samples	n_peak_count_matchable_samples	n_motif_enriched	fraction_enriched_all_samples	fraction_enriched_matchable_samples	half_threshold_all_samples	half_threshold_matchable_samples	support_fixed_original_denominator	support_matchable_denominator	mean_log2_odds_ratio_tested	catalogued_motif_tokens
PDX	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.0622166729459315	CIS-BP2.00|000890|M07960_2.00;JASPAR2024|000356|MA0148.5
PDX	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.08723667437250468	CIS-BP2.00|000889|M07959_2.00;JASPAR2024|000357|MA0047.4
PDX	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.10258368576627586	CIS-BP2.00|000947|M08124_2.00;JASPAR2024|000382|MA1104.3
PDX	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.15580927618221743	CIS-BP2.00|000974|M08219_2.00;JASPAR2024|000409|MA1494.2;JASPAR2024|000410|MA0114.5
PDX	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.1566490164975287	JASPAR2024|000822|MA1994.2
cell_line	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.08021195977811253	CIS-BP2.00|000926|M08076_2.00;JASPAR2024|000234|MA0102.5
cell_line	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	2	0.10526315789473684	0.10526315789473684	10	10	FALSE	FALSE	0.2643222844552844	CIS-BP2.00|000866|M07830_2.00;JASPAR2024|000235|MA0466.4
cell_line	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.9565078165794968	CIS-BP2.00|000227|M03002_2.00;JASPAR2024|000276|MA0640.3
cell_line	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.05348959805558162	CIS-BP2.00|000890|M07960_2.00;JASPAR2024|000356|MA0148.5
cell_line	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.08905801219627348	CIS-BP2.00|000889|M07959_2.00;JASPAR2024|000357|MA0047.4
cell_line	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.08111356259092804	CIS-BP2.00|000947|M08124_2.00;JASPAR2024|000382|MA1104.3
cell_line	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.01083101421543734	CIS-BP2.00|000974|M08219_2.00;JASPAR2024|000409|MA1494.2;JASPAR2024|000410|MA0114.5
cell_line	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.10344930959533281	JASPAR2024|000822|MA1994.2
