panel_order	cell_type_coarse_crc_atlas	reference_cells	unexpected_support	unexpected_support_fraction	dataset	sample_id	analysis_patient_id
13	Mast cell	4	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T3	Liu_2024_Cancer_Res.Pt06
13	Myeloid cell	179	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T3	Liu_2024_Cancer_Res.Pt06
13	NK	4	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T3	Liu_2024_Cancer_Res.Pt06
13	Neutrophil	3	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T3	Liu_2024_Cancer_Res.Pt06
13	Plasma cell	10	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T3	Liu_2024_Cancer_Res.Pt06
13	T cell	93	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T3	Liu_2024_Cancer_Res.Pt06
14	B cell	49	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T1	Liu_2024_Cancer_Res.Pt07
14	Mast cell	8	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T1	Liu_2024_Cancer_Res.Pt07
14	Myeloid cell	24	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T1	Liu_2024_Cancer_Res.Pt07
14	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T1	Liu_2024_Cancer_Res.Pt07
14	Neutrophil	3	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T1	Liu_2024_Cancer_Res.Pt07
14	Plasma cell	105	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T1	Liu_2024_Cancer_Res.Pt07
14	T cell	109	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T1	Liu_2024_Cancer_Res.Pt07
15	Mast cell	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T2	Liu_2024_Cancer_Res.Pt07
15	Myeloid cell	73	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T2	Liu_2024_Cancer_Res.Pt07
15	Neutrophil	170	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T2	Liu_2024_Cancer_Res.Pt07
15	Plasma cell	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T2	Liu_2024_Cancer_Res.Pt07
15	T cell	55	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt07_T2	Liu_2024_Cancer_Res.Pt07
16	B cell	11	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T1	Liu_2024_Cancer_Res.Pt08
16	ILC	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T1	Liu_2024_Cancer_Res.Pt08
16	Mast cell	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T1	Liu_2024_Cancer_Res.Pt08
16	Myeloid cell	19	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T1	Liu_2024_Cancer_Res.Pt08
16	Neutrophil	7	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T1	Liu_2024_Cancer_Res.Pt08
16	Plasma cell	65	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T1	Liu_2024_Cancer_Res.Pt08
16	T cell	196	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T1	Liu_2024_Cancer_Res.Pt08
17	Mast cell	9	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T2	Liu_2024_Cancer_Res.Pt08
17	Myeloid cell	24	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T2	Liu_2024_Cancer_Res.Pt08
17	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T2	Liu_2024_Cancer_Res.Pt08
17	Neutrophil	42	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T2	Liu_2024_Cancer_Res.Pt08
17	Plasma cell	52	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T2	Liu_2024_Cancer_Res.Pt08
17	T cell	171	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T2	Liu_2024_Cancer_Res.Pt08
18	B cell	5	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T3	Liu_2024_Cancer_Res.Pt08
18	Mast cell	3	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T3	Liu_2024_Cancer_Res.Pt08
18	Myeloid cell	143	1	0.006993006993006993	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T3	Liu_2024_Cancer_Res.Pt08
18	NK	4	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T3	Liu_2024_Cancer_Res.Pt08
18	Plasma cell	19	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T3	Liu_2024_Cancer_Res.Pt08
18	T cell	126	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T3	Liu_2024_Cancer_Res.Pt08
19	B cell	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T4	Liu_2024_Cancer_Res.Pt08
19	ILC	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T4	Liu_2024_Cancer_Res.Pt08
19	Mast cell	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T4	Liu_2024_Cancer_Res.Pt08
