system	sample_id	definition	peak_count	peak_path
patient	TCGA-91-A4BD	cpm2_both_reps	91972	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-91-A4BD.bed.gz
patient	TCGA-91-A4BD	cpm1_merged_reps	120309	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-91-A4BD.bed.gz
patient	TCGA-93-A4JN	cpm0.5_both_reps	121746	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-93-A4JN.bed.gz
patient	TCGA-93-A4JN	cpm1_both_reps	107507	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-93-A4JN.bed.gz
patient	TCGA-93-A4JN	cpm2_both_reps	88544	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-93-A4JN.bed.gz
patient	TCGA-93-A4JN	cpm1_merged_reps	111663	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-93-A4JN.bed.gz
patient	TCGA-93-A4JO	cpm0.5_both_reps	136051	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-93-A4JO.bed.gz
patient	TCGA-93-A4JO	cpm1_both_reps	123222	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-93-A4JO.bed.gz
patient	TCGA-93-A4JO	cpm2_both_reps	95129	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-93-A4JO.bed.gz
patient	TCGA-93-A4JO	cpm1_merged_reps	129976	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-93-A4JO.bed.gz
