TF	NES	size	p.value	FDR
FOSL1	2.09705655949987	79	0.0359885688374298	0.657520879300068
ATF6	2.07564450968428	32	0.0379268416185689	0.683676420514335
FOSL2	2.07112563512737	20	0.0383470567824136	0.683676420514335
ARID3C	2.07022248309246	44	0.0384315147626401	0.683676420514335
RELB	2.05435284708691	47	0.0399415533030634	0.698371748928551
AEBP1	2.05430363598804	79	0.0399463130550847	0.698371748928551
SS18	2.04894122563519	22	0.0404678624770134	0.699578151517386
MAMLD1	2.04651999156114	28	0.0407052376129445	0.699578151517386
TP53INP2	2.02444096861651	48	0.0429248000271242	0.731525163487461
ZFPM1	2.01063996682478	19	0.0443634993082139	0.746184005656258
EN2	-2.00699280592629	25	0.0447504289995746	0.746184005656258
ANKRD2	2.00569516486171	16	0.0448887814053567	0.746184005656258
IRF6	1.99663592257751	10	0.0458647475693091	0.75118404831882
NAB1	1.99485219133988	10	0.0460590031119935	0.75118404831882
CDK17	1.99031409472018	52	0.0465563463272167	0.75118404831882
PLAGL1	-1.98099671033116	20	0.0475916425048478	0.75118404831882
IRF4	-1.97934600636899	69	0.0477770631115902	0.75118404831882
ID2	-1.97893476100658	17	0.0478233519269932	0.75118404831882
KCTD1	1.97843726650999	60	0.0478793991162555	0.75118404831882
HOXA1	1.97601724921057	22	0.0481528236101808	0.75118404831882
TGIF2LY	-1.9672796467214	41	0.0491509801798158	0.754607206931978
MAGEL2	1.9667959205147	5	0.0492067430875417	0.754607206931978
MAGEA1	1.96435843305251	30	0.0494885397051051	0.754607206931978
OLIG3	1.96007207686148	27	0.049987366411787	0.756525217038089
GATAD2B	1.95229501947965	16	0.0509031884375701	0.762945389955526
NEUROD4	-1.94841832408645	25	0.0513649290075353	0.762945389955526
ZSCAN30	1.94695444464161	5	0.0515401964614926	0.762945389955526
CDK7	-1.94196931008214	24	0.0521408157110633	0.766243291753886
ENY2	-1.93255703942915	81	0.0532907890192426	0.777508777921036
MED30	-1.92923656201692	68	0.053701501136186	0.777904602172752
IRF8	-1.92489195808677	42	0.0542428762060458	0.780174134367807
CREM	1.91907682506856	34	0.0549746119053017	0.785130372844731
FOXG1	-1.91364561340011	31	0.0556654526331944	0.789437328252575
ZNF284	-1.90166626613331	3	0.0572147986872809	0.802271597924428
OLIG2	1.89872087175834	21	0.0576011858163249	0.802271597924428
MEIS3	1.89017702895007	62	0.0587342878034231	0.802271597924428
VGLL1	1.88551482733915	52	0.0593603645171603	0.802271597924428
