TF	NES	p_value	FDR	regulon_size	logFC	AveExpr	t	P.Value	adj.P.Val	B	category
ALX1	-1.69892931650571	0.0893325024638836	0.208646461234139	40	-1.48312025383858	-3.4004067150671	-8.14363244082611	1.11090503573136e-15	5.60422356183424e-15	24.4553130127209	VIPER Significant
ALX3	-1.31105502100763	0.189839175407203	0.34096825781049	85	-0.527928014901707	-4.57436973270654	-3.51050231261002	0.000466786283064847	0.000676875419542596	-1.5255753730661	VIPER Significant
ALX4	-2.3113259361433	0.0208148584710122	0.0790115035838421	120	-0.987411628906555	-3.28010708520875	-6.69275165691506	3.60537210105484e-11	1.07764031711793e-10	14.2598351110862	VIPER Significant
ANHX	-0.492860771883348	0.62211096681431	0.764009026471836	281	0.151743344792788	-6.38827044021132	2.60149432625007	0.00941611243573077	0.0121696203588041	-4.89926388320749	Non-Significant
ANKRD1	2.29989935165703	0.0214539228422103	0.0803030333556426	112	0.81910314158822	-0.440530062907839	5.73825481814092	1.2599706939845e-08	2.75858521281425e-08	8.41343946772699	VIPER Significant
ANKRD2	-3.51938051609895	0.000432555824869686	0.0111506849976282	51	-2.07205234521848	-1.64210354778995	-21.2631552122958	2.34465738482934e-83	1.29856434676844e-81	179.189328478907	LUSC
ANKRD33	-0.473111106348385	0.636133913462344	0.771098743284954	392	-0.0640065355541039	-4.43487802451866	-0.547624836685135	0.58406917987664	0.612019804145947	-7.48389458940386	Non-Significant
ANKRD49	-1.01472052494327	0.310239067372207	0.472295405371852	85	-0.10503550363498	3.88283911610064	-2.95100003535487	0.00323980719924069	0.00436550852389353	-3.85231524949061	Non-Significant
APBB1	2.675779706021	0.00745556325453057	0.0381992495731855	96	0.670138538343546	3.87032032142176	10.6168486539785	4.75686568244e-25	3.73577714960172e-24	45.2821299469333	LUAD
APBB2	0.932262161250719	0.351201057594858	0.513989530643118	68	0.185647108794851	4.86144083519248	3.81143795352929	0.000146422308943271	0.000221399383073934	-1.07903288372662	Non-Significant
APBB3	0.805168190507409	0.420722629840823	0.583939715955145	103	0.107864136131148	3.20644378249783	1.98431988161054	0.0474874845789201	0.0572143124254214	-6.15440566595361	Non-Significant
AR	2.28849058385183	0.022108967843803	0.0823768709132699	40	0.970488087113964	1.93809551319478	9.25517982277227	1.22036530093856e-19	7.54823834182492e-19	33.125638974524	VIPER Significant
ARGFX	0.0273932621149456	0.978146072287052	0.988778094811911	901	-0.0197549999068015	-5.6968686890355	-0.255355821396508	0.798499701804866	0.816220305097162	-7.90314399504169	Non-Significant
ARID1A	0.219131554258849	0.82654757130581	0.900967677619439	37	0.0597448387477278	7.06132384028222	1.4622762150456	0.143973152961505	0.164365707938744	-7.48478205561234	Non-Significant
ARID1B	-1.74549477102581	0.0808987818672299	0.194957488457423	52	-0.182493858118793	6.33795186943606	-5.04776851587905	5.29013328079984e-07	9.88295348878001e-07	4.12604174225302	Non-Significant
ARID3A	-0.0243253338971905	0.980593105579903	0.989264996383683	34	-0.0859891320556906	4.09574717849021	-1.49703890101981	0.134692090177453	0.154321486137416	-7.09173941752861	Non-Significant
ARID3B	-2.56586928971774	0.0102917602836712	0.0487770737248618	47	-0.514716593387611	3.30948789397156	-10.4972826744935	1.49944500137859e-24	1.15439199503725e-23	44.1964666998923	LUSC
ARID3C	-2.98040945346863	0.00287863326208621	0.0211099772552989	187	-0.581957232040357	-3.50404010538868	-6.24773897673727	6.10330858785294e-10	1.55512292351043e-09	11.5024383998755	LUSC
ARID4A	2.80906032382382	0.0049686335596721	0.0276997936323954	92	0.484329220982474	4.36646679014858	13.7744920542198	1.0167880403742e-39	1.41443499239976e-38	78.7955678045625	LogFC Non-Significant
ARID4B	1.71301982526173	0.0867088923765653	0.204150050405584	52	0.251470333094251	5.71556866481264	7.8928386817115	7.57997822947877e-15	3.64475577508888e-14	21.8585908357256	Non-Significant
ARID5A	-0.793133829958584	0.427699854576602	0.589275355194429	137	-0.29430702611377	4.75882060083431	-6.90409240637171	8.8632827681327e-12	2.84928218685396e-11	15.0189676392837	Non-Significant
ARID5B	-0.570633026911131	0.568248425939159	0.716454771992455	20	-0.241539976323483	5.98740876170973	-5.34959470605295	1.08797023034495e-07	2.16759234979626e-07	5.69674973908071	Non-Significant
ARNT	1.11896942211931	0.263153184259277	0.424949814518137	27	0.209401865796161	6.08052954294462	6.97739195975461	5.39996724714679e-12	1.77845185987692e-11	15.3580576885849	Non-Significant
ARNT2	-0.187256854438557	0.851459249725667	0.916404852676862	45	-0.208191411542741	3.89924533765811	-2.1886575770008	0.0288475914509906	0.0355713536365111	-5.80067662523728	Non-Significant
ARNTL	-1.57472784485771	0.115319277698797	0.246030492358435	42	-0.0904581189580956	3.93243474147317	-2.27205236400636	0.0232905829111175	0.0289898096233868	-5.6189943858529	Non-Significant
ARNTL2	-3.285177599974	0.00101918107094945	0.0140894896700173	92	-1.75742113801889	5.20710523402866	-20.5745946359271	5.74193041896137e-79	2.75849392892173e-77	168.798046458791	LUSC
ARX	3.06877056471358	0.00214941595574857	0.0187936113053913	49	2.51687393655344	-1.40808764220957	15.6364352819813	1.42575759635748e-49	2.81116445516708e-48	101.755152940865	LUAD
ASCC1	-1.86967501964488	0.0615289604981231	0.161664616062207	153	-0.28073230317961	4.77020274342075	-8.87734363309785	3.01772914541258e-18	1.7482412743657e-17	29.6859193939858	Non-Significant
ASCC2	-2.53996893914177	0.0110862314038118	0.051317713692758	60	-0.335674388865786	6.44968064327338	-10.117967984937	5.34691040091621e-23	3.85479612271318e-22	40.3289606170807	Non-Significant
ASCL1	1.447011666457	0.147893656107228	0.290952327303258	234	1.05395671130255	-1.94266985485756	4.71009227534486	2.81787420351763e-06	4.93190228816759e-06	3.27927051875492	VIPER Significant
ASCL2	-2.5491547624584	0.0107984368070618	0.0503271109504522	49	-0.864287324209745	1.24237189817356	-8.96784809981964	1.41367850726838e-18	8.30883915057244e-18	30.7652759772665	VIPER Significant
ASCL3	1.14860453294184	0.250719087071847	0.410353920341722	644	0.133877560485048	-5.40798023785628	1.41054395118444	0.158683612233524	0.180245632940893	-6.82102392213638	Non-Significant
