TF	TCGA	GSE81089	PDMR_PDX	DepMap_22Q2
ZNF483	-0.571824389539451	0.382718560748583	-0.712272611444886	-0.945151044808968
ZNF486	-0.745812858168082	-1.22799908816401	-0.0433386604408182	0.291113514231684
ZNF493	-1.02945671089224	-0.552487807614541	-0.898673506913672	-0.872342621833516
ZNF540	0.707747184158446	-0.641640595073485	-0.779003145438471	-0.529260866076384
ZNF597	-1.30064789403399	-1.67251188310476	-1.13139548107182	-0.862823666773916
ZNF608	-0.628735734454231	0.778966190423164	-0.619579924842231	-0.643889388677126
ZNF620	0.381916197977171	-0.300607882489285	0.26695108951749	-0.418725082722727
ZNF671	-1.23725724061367	-1.09577759960806	-1.05954889513565	-1.20377261799052
ZNF678	-1.10828383468301	2.266755671394	-0.878963327319606	-1.10057092749638
ZNF681	-1.09061248507659	-1.14305744607913	-0.643532816251569	-0.474724841265383
ZNF69	-0.242876365815342	0.214176357053328	-0.225898918025482	-0.285792354368169
ZNF717	-1.28658831062488	-1.05566352918122	-0.791318975251692	-0.556382049809249
ZNF737	-0.931904530950509	0.461435740755304	-1.26637801948586	0
ZNF75D	-0.552672452932114	0.781342390207322	-0.734567766105961	-0.875180366788875
ZNF763	-1.04650105003272	-0.508173139175548	-1.18699389901281	-1.03791648523246
ZNF792	-1.1765901016356	-1.45509565695123	-0.719551877235599	-0.680296767022335
ZNF852	-0.523986303900666	-0.709686504650391	-0.801077363934763	-0.630459986798509
ZNF860	-1.25042873205014	-0.507647636101142	-0.832337049741976	-0.666487500953787
ZSCAN16	-0.557781512898062	-0.413624998574324	-0.393120837481277	-0.383022889216412
