TF	discovery_category	externally_replicated
TFDP2	LUSC	TRUE
TLX2	LUSC	FALSE
TP63	LUSC	TRUE
TP73	LUSC	TRUE
TRIM28	LUSC	TRUE
TRIM45	LUSC	FALSE
TRO	LUSC	TRUE
TRPS1	LUSC	TRUE
TSHZ2	LUSC	TRUE
VAX1	LUSC	TRUE
VAX2	LUSC	TRUE
WDR75	LUSC	TRUE
WIZ	LUSC	FALSE
YEATS2	LUSC	TRUE
ZBTB7C	LUSC	TRUE
ZFP64	LUSC	TRUE
ZIC5	LUSC	TRUE
ZNF280A	LUSC	TRUE
ZNF280C	LUSC	TRUE
ZNF343	LUSC	TRUE
ZNF367	LUSC	TRUE
ZNF436	LUSC	TRUE
ZNF488	LUSC	FALSE
ZNF530	LUSC	TRUE
ZNF556	LUSC	TRUE
ZNF639	LUSC	TRUE
ZNF703	LUSC	TRUE
ZNF77	LUSC	TRUE
ZNF770	LUSC	TRUE
ZSCAN5A	LUSC	FALSE
