TR	Sample_Group	Mean_LOR	SD_LOR	n_samples	total	Pct_samples	sig_cohort
TFCP2L1	TCGA	0.009831621627717313	0.07230264864663856	7	7	100.0	FALSE
TFCP2L1	PDX	0.09701072539022275	0.08843181922750715	38	38	100.0	TRUE
TFCP2L1	CellLines	-0.01574903181241955	0.12382593172595364	26	26	100.0	FALSE
TLX3	TCGA	0.0823849148003614	0.024305307676049118	7	7	100.0	TRUE
TLX3	PDX	0.09035350478033947	0.04018469620570754	36	38	94.73684210526315	TRUE
TLX3	CellLines	0.08767609573657341	0.026554425021652835	26	26	100.0	TRUE
VAX1	TCGA	0.27514982814635613	0.06054867727534793	7	7	100.0	TRUE
VAX1	PDX	0.2878673064901176	0.09210112838923254	38	38	100.0	TRUE
VAX1	CellLines	0.3156475293392844	0.08735143581985845	26	26	100.0	TRUE
VAX2	TCGA	0.34065435885978407	0.06249381036539433	7	7	100.0	TRUE
VAX2	PDX	0.3175632853755089	0.09710427290030928	38	38	100.0	TRUE
VAX2	CellLines	0.36433832126645105	0.08284982772146283	26	26	100.0	TRUE
ZIC4	TCGA	0.10677308005266423	0.04605017065827526	7	7	100.0	TRUE
ZIC4	PDX	0.16873062178962117	0.11429973263558434	38	38	100.0	TRUE
ZIC4	CellLines	0.20950215030998875	0.10614700542075263	26	26	100.0	TRUE
ZNF454	TCGA	0.12094217973008889	0.06000178848376827	7	7	100.0	TRUE
ZNF454	PDX	0.17043047644412657	0.0887347307761385	38	38	100.0	TRUE
ZNF454	CellLines	0.14188861948608397	0.10461639473510136	26	26	100.0	TRUE
ZNF695	TCGA	0.1788457559720631	0.06100444565576911	7	7	100.0	TRUE
ZNF695	PDX	0.1856477278145022	0.07731398808669145	36	38	94.73684210526315	TRUE
ZNF695	CellLines	0.20476873435777482	0.0507623062662912	26	26	100.0	TRUE
