depmap_id	cell_line_name	stripped_cell_line_name	cell_line	aliases	cosmic_id	sex	source	RRID	WTSI_master_cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	subtype_disease	age	sanger_id	additional_info	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	default_growth_pattern	model_manipulation	model_manipulation_details	patient_id	parent_depmap_id	Cellosaurus_NCIt_disease	Cellosaurus_NCIt_id	Cellosaurus_issues	group	sample_id	system
ACH-000327	NCI-H1395	NCIH1395	NCIH1395_LUNG	""	684681	Female	DepMap_22Q2	CVCL_1467	1826	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	55	SIDM00644	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-oKf5lW	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000327	cell_line
ACH-000337	NCI-H3122	NCIH3122	NCIH3122_LUNG	""	1240190	Male	DepMap_22Q2	CVCL_5160	918	lung	""	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	SIDM00137	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-0fXDWz	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000337	cell_line
ACH-000339	""	HCC461	HCC461_LUNG	""		Male	DepMap_22Q2	CVCL_5135		lung	""	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	69	""	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-IP75QA	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000339	cell_line
ACH-000343	NCI-H522	NCIH522	NCIH522_LUNG	""	905944	Male	DepMap_22Q2	CVCL_1567	1224	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	58	SIDM00116	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-6ukZx4	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000343	cell_line
ACH-000367	NCI-H226	NCIH226	NCIH226_LUNG	""	905941	Male	DepMap_22Q2	CVCL_1544	1221	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	""	SIDM00139	""	lung	NSCLC	NSCLC_squamous		""			PT-hfcpvz	""	Pleural epithelioid mesothelioma	C45662	Indicated to have a TP53 p.Arg158Leu (c.473G>T) mutation according to PubMed=1311061, but no TP53 mutation detected according to PubMed=20557307, CCLE and Cosmic-CLP	LUSC	ACH-000367	cell_line
ACH-000379	NCI-H1781	NCIH1781	NCIH1781_LUNG	""	1298350	Female	DepMap_22Q2	CVCL_1494	2228	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	66	SIDM00754	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-ZMox9l	""	Minimally invasive lung adenocarcinoma	C2923	""	LUAD	ACH-000379	cell_line
ACH-000390	LUDLU-1	LUDLU1	LUDLU1_LUNG	""		Male	DepMap_22Q2	CVCL_2582		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	72	""	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-gDZo34	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000390	cell_line
ACH-000392	Calu-3	CALU3	CALU3_LUNG	""	687777	Male	DepMap_22Q2	CVCL_0609	219	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	25	SIDM00922	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-v3MIz8	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000392	cell_line
ACH-000395	NCI-H520	NCIH520	NCIH520_LUNG	""	908443	Male	DepMap_22Q2	CVCL_1566	2200	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	""	SIDM01130	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-mQfWto	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000395	cell_line
ACH-000414	NCI-H1944	NCIH1944	NCIH1944_LUNG	""	1240185	Female	DepMap_22Q2	CVCL_1508	183	soft_tissue	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	62	SIDM00762	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-0Fp6tq	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000414	cell_line
ACH-000416	NCI-H838	NCIH838	NCIH838_LUNG	""	910399	Male	DepMap_22Q2	CVCL_1594	484	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	59	SIDM01150	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-YdBNCw	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000416	cell_line
ACH-000442	RERF-LC-Sq1	RERFLCSQ1	RERFLCSQ1_LUNG	""	1298538	Female	DepMap_22Q2	CVCL_1656	449	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	74	SIDM00354	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-uWXLpm	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000442	cell_line
ACH-000447	NCI-H2228	NCIH2228	NCIH2228_LUNG	""	687816	Female	DepMap_22Q2	CVCL_1543	1812	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	SIDM00729	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-QmAMEj	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000447	cell_line
ACH-000448	NCI-H1666	NCIH1666	NCIH1666_LUNG	""	908473	Female	DepMap_22Q2	CVCL_1485	958	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	50	SIDM00743	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-3icxN1	""	Minimally invasive lung adenocarcinoma	C2923	""	LUAD	ACH-000448	cell_line
ACH-000451	NCI-H2085	NCIH2085	NCIH2085_LUNG	""	687812	Male	DepMap_22Q2	CVCL_1523	80	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	45	SIDM00709	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-hZbJSf	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000451	cell_line
ACH-000454	HCC-95	HCC95	HCC95_LUNG	""		Male	DepMap_22Q2	CVCL_5137		pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	65	""	""	lung	NSCLC	NSCLC_squamous		""			PT-u7ecNk	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000454	cell_line
ACH-000481	NCI-H2170	NCIH2170	NCIH2170_LUNG	""	687815	Male	DepMap_22Q2	CVCL_1535	1811	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	""	SIDM00716	""	lung	NSCLC	NSCLC_squamous		2D: mixed adherent and suspension			PT-CazMr1	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000481	cell_line
ACH-000482	RERF-LC-KJ	RERFLCKJ	RERFLCKJ_LUNG	""	1298537	Male	DepMap_22Q2	CVCL_1654	960	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	78	SIDM00356	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-G8tjyE	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000482	cell_line
ACH-000496	NCI-H1792	NCIH1792	NCIH1792_LUNG	""	724868	Male	DepMap_22Q2	CVCL_1495	2122	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	50	SIDM00771	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-5umTu0	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000496	cell_line
ACH-000511	Calu-1	CALU1	CALU1_LUNG	""		Male	DepMap_22Q2	CVCL_0608		pleura	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	47	""	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-R4QjAn	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000511	cell_line
ACH-000521	NCI-H2030	NCIH2030	NCIH2030_LUNG	""	722045	Male	DepMap_22Q2	CVCL_1517	912	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	SIDM00715	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-hEuGfg	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000521	cell_line
ACH-000528	ABC-1	ABC1	ABC1_LUNG	""	906791	Male	DepMap_22Q2	CVCL_1066	1557	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	47	SIDM00494	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-id2eBb	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000528	cell_line
ACH-000553	Sq-1	SQ1	SQ1_LUNG	""		Male	DepMap_22Q2	CVCL_4900		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	""	""	""	lung	NSCLC	NSCLC_squamous		""			PT-yEcMkf	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000553	cell_line
ACH-000562	HCC-78	HCC78	HCC78_LUNG	""	1290908	Male	DepMap_22Q2	CVCL_2061	639	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	65	SIDM01068	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-TdkTP0	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000562	cell_line
