cohort	marker	TR	r	fdr	sig
GSE41271-LUAD	ImmuneScore	ZNF281	-0.119669568856505	0.12509105757684	FALSE
GSE41271-LUAD	ImmuneScore	ZNF33A	-0.145240720132682	0.0671132699184518	FALSE
GSE41271-LUAD	ImmuneScore	ZNF33B	-0.225753457604968	0.00505721028608155	FALSE
GSE41271-LUAD	ImmuneScore	ZNF341	-0.406801630125137	3.41117796645609e-07	TRUE
GSE41271-LUAD	ImmuneScore	ZNF444	-0.286599012054145	0.000259734994686039	FALSE
GSE41271-LUAD	ImmuneScore	ZNF540	0.128669745796683	0.102399266157313	FALSE
GSE41271-LUAD	ImmuneScore	ZNF678	-0.309867873412647	0.000118634445041254	FALSE
GSE41271-LUAD	ImmuneScore	ZNF75D	-0.180192645995767	0.0267151170260403	FALSE
GSE41271-LUAD	TumorPurity	ABHD14B	0.24260346943905	0.00181430236514193	FALSE
GSE41271-LUAD	TumorPurity	CREB3L2	-0.200783130343339	0.00995639520404132	FALSE
GSE41271-LUAD	TumorPurity	CREBRF	-0.263153116584728	0.000761390072317347	FALSE
GSE41271-LUAD	TumorPurity	CRY2	0.152103664632866	0.0493905258025537	FALSE
GSE41271-LUAD	TumorPurity	CSRNP1	-0.2579040570857	0.000938511430057664	FALSE
GSE41271-LUAD	TumorPurity	E2F5	0.088695725329106	0.24851650784332	FALSE
GSE41271-LUAD	TumorPurity	ELF3	0.428971814541878	1.41743929372199e-08	TRUE
GSE41271-LUAD	TumorPurity	ETV1	-0.317061124522426	4.74669963628643e-05	FALSE
GSE41271-LUAD	TumorPurity	FOXA3	0.238868161950565	0.00205700670487732	FALSE
GSE41271-LUAD	TumorPurity	FOXD2	0.343878664994161	9.69986286035054e-06	FALSE
GSE41271-LUAD	TumorPurity	MAGED2	0.310567480858693	5.82561645248656e-05	FALSE
GSE41271-LUAD	TumorPurity	MXD4	0.156176190842714	0.0448911425183721	FALSE
GSE41271-LUAD	TumorPurity	NCOA7	-0.36511191765783	2.31752209024719e-06	FALSE
GSE41271-LUAD	TumorPurity	NFATC4	0.329085065854282	2.39140378085552e-05	FALSE
GSE41271-LUAD	TumorPurity	NR3C2	-0.0757277833889571	0.318539804202008	FALSE
GSE41271-LUAD	TumorPurity	PHC2	-0.118600128917782	0.130927204661038	FALSE
GSE41271-LUAD	TumorPurity	WWC2	-0.295093410617268	0.000141121780568004	FALSE
GSE41271-LUAD	TumorPurity	XBP1	-0.188524526034907	0.0156394817990246	FALSE
GSE41271-LUAD	TumorPurity	ZBTB18	0.247200935027958	0.00153290220135934	FALSE
GSE41271-LUAD	TumorPurity	ZNF117	0.0520010934333449	0.4844828266895	FALSE
GSE41271-LUAD	TumorPurity	ZNF141	0.201851479266406	0.00995639520404132	FALSE
GSE41271-LUAD	TumorPurity	ZNF19	0.430475886280044	1.41743929372199e-08	TRUE
GSE41271-LUAD	TumorPurity	ZNF254	0.287185325955241	0.000208999842396191	FALSE
GSE41271-LUAD	TumorPurity	ZNF281	0.0953439029200236	0.220526080508843	FALSE
GSE41271-LUAD	TumorPurity	ZNF33A	0.16795062861917	0.0310683432327738	FALSE
GSE41271-LUAD	TumorPurity	ZNF33B	0.206008387153321	0.00886094664377735	FALSE
GSE41271-LUAD	TumorPurity	ZNF341	0.487013383686869	8.47398314213054e-11	TRUE
GSE41271-LUAD	TumorPurity	ZNF444	0.372463654417942	1.61138748464906e-06	FALSE
GSE41271-LUAD	TumorPurity	ZNF540	-0.106555130023667	0.173482666488628	FALSE
GSE41271-LUAD	TumorPurity	ZNF678	0.312112201242572	5.82561645248656e-05	FALSE
GSE41271-LUAD	TumorPurity	ZNF75D	0.178481652727766	0.0220294926662152	FALSE
