Drug_TR	dataset_n
CID:148124_ZNF254_Negative_Correlated_CI_Significant	1
CID:70676303_ZNF254_Negative_Correlated_CI_Significant	1
NAME:681640_ZNF19_Negative_Correlated_CI_Significant	1
CID:78209992_ETV1_Negative_Correlated_CI_Significant	1
CID:387447_ZBTB18_Negative_Correlated_CI_Significant	1
CID:9933475_ZBTB18_Negative_Correlated_CI_Significant	1
CID:51001932_NFATC4_Negative_Correlated_CI_Significant	1
CID:10385095_ABHD14B_Negative_Correlated_CI_Significant	1
CID:10385095_FOXD2_Negative_Correlated_CI_Significant	1
CID:11228183_ZNF141_Negative_Correlated_CI_Significant	1
CID:54761306_CRY2_Negative_Correlated_CI_Significant	1
CID:356653_ZNF341_Negative_Correlated_CI_Significant	1
CID:16654980_E2F5_Negative_Correlated_CI_Significant	1
CID:51167_ZNF281_Positive_Correlated_CI_Significant	1
CID:6433109_WWC2_Negative_Correlated_CI_Significant	1
CID:10309899_ZNF254_Negative_Correlated_CI_Significant	1
CID:16736529_NR3C2_Negative_Correlated_CI_Significant	1
CID:49836027_NFATC4_Negative_Correlated_CI_Significant	1
CID:25229526_ZNF117_Negative_Correlated_CI_Significant	1
CID:60795_ZNF254_Negative_Correlated_CI_Significant	1
CID:2747117_ZNF19_Positive_Correlated_CI_Significant	1
CID:6918178_FOXD2_Positive_Correlated_CI_Significant	1
CID:11599836_XBP1_Negative_Correlated_CI_Significant	1
CID:53358942_ZNF254_Negative_Correlated_CI_Significant	1
CID:25295_ZNF444_Positive_Correlated_CI_Significant	1
CID:2929_E2F5_Negative_Correlated_CI_Significant	1
CID:25295_ZNF19_Positive_Correlated_CI_Significant	1
CID:3117_PHC2_Negative_Correlated_CI_Significant	1
CID:53358942_ZNF540_Negative_Correlated_CI_Significant	1
CID:9933475_CREB3L2_Negative_Correlated_CI_Significant	1
CID:3001055_MAGED2_Negative_Correlated_CI_Significant	1
CID:5455_FOXD2_Negative_Correlated_CI_Significant	1
CID:25229526_ZNF540_Negative_Correlated_CI_Significant	1
CID:10297043_NCOA7_Negative_Correlated_CI_Significant	1
CID:59604787_ZNF341_Negative_Correlated_CI_Significant	1
CID:17142_ZNF254_Negative_Correlated_CI_Significant	1
CID:5614_XBP1_Negative_Correlated_CI_Significant	1
CID:11647372_ZNF254_Negative_Correlated_CI_Significant	1
CID:25295_ELF3_Positive_Correlated_CI_Significant	1
INCHI:RTKIYFITIVXBLE-WKWSCTOISA-N_ZNF254_Negative_Correlated_CI_Significant	1
CID:5329098_NCOA7_Positive_Correlated_CI_Significant	1
CID:443390_NFATC4_Positive_Correlated_CI_Significant	1
CID:5472285_CREBRF_Positive_Correlated_CI_Significant	1
CID:456389_NFATC4_Positive_Correlated_CI_Significant	1
CID:31789_MXD4_Positive_Correlated_CI_Significant	1
CID:6185_ZNF33B_Positive_Correlated_CI_Significant	1
CID:4369270_NR3C2_Negative_Correlated_CI_Significant	1
CID:11556711_ZNF75D_Positive_Correlated_CI_Significant	1
CID:53240420_ZNF254_Negative_Correlated_CI_Significant	1
CID:25295_ZNF33A_Positive_Correlated_CI_Significant	1
