dataset	canonical_drug
CTRPv2	CID:462382
CTRPv2	NAME:ML210
CTRPv2	CID:2746
CTRPv2	NAME:M60
CTRPv2	CID:24180125
CTRPv2	CID:216345
CTRPv2	NAME:BRDK61166597
CTRPv2	CID:11707110
CTRPv2	CID:16741245
CTRPv2	CID:3825829
CTRPv2	CID:114736
CTRPv2	CID:11977753
CTRPv2	CID:3038522
CTRPv2	CID:54613769
CTRPv2	CID:356653
CTRPv2	CID:11625818
CTRPv2	CID:44607531
CTRPv2	NAME:BRDK51490254
CTRPv2	NAME:BRDK66453893
CTRPv2	CID:14179013
CTRPv2	CID:4477
CTRPv2	NAME:O
CTRPv2	CID:66545744
CTRPv2	CID:25010734
CTRPv2	CID:9903786
CTRPv2	CID:322968
CTRPv2	CID:54454
CTRPv2	CID:126941
CTRPv2	CID:25126798
CTRPv2	CID:11609586
CTRPv2	CID:9915743
CTRPv2	CID:2708
CTRPv2	CID:445643
CTRPv2	CID:9868037
CTRPv2	CID:409805
CTRPv2	CID:16725315
CTRPv2	CID:15547703
CTRPv2	CID:5287620
CTRPv2	CID:654092
CTRPv2	CID:119182
CTRPv2	CID:44137675
CTRPv2	CID:5280754
CTRPv2	CID:10385095
CTRPv2	CID:5282054
CTRPv2	CID:3025944
CTRPv2	NAME:M
CTRPv2	CID:23976
CTRPv2	CID:107970
CTRPv2	CID:6852167
CTRPv2	NAME:BRDK03536150
CTRPv2	CID:6610355
CTRPv2	CID:9866186
CTRPv2	CID:11494412
CTRPv2	CID:10231331
CTRPv2	CID:10127622
CTRPv2	CID:656346
CTRPv2	CID:11612883
CTRPv2	NAME:IB1511210151A
CTRPv2	CID:24821094
CTRPv2	CID:9956119
CTRPv2	CID:25105715
CTRPv2	CID:32874
CTRPv2	CID:374536
CTRPv2	CID:71300862
CTRPv2	CID:208908
CTRPv2	CID:241158
CTRPv2	CID:16681698
CTRPv2	CID:11647372
CTRPv2	NAME:BRDK27188169
CTRPv2	NAME:JQ1UNC063821
CTRPv2	NAME:JW74
CTRPv2	CID:46398810
CTRPv2	CID:11485656
CTRPv2	CID:25062766
CTRPv2	CID:9936388
CTRPv2	CID:17755052
CTRPv2	CID:219104
CTRPv2	CID:387447
CTRPv2	CID:10296883
CTRPv2	CID:4917
CTRPv2	CID:10074640
CTRPv2	CID:252682
CTRPv2	CID:400769
CTRPv2	CID:644241
CTRPv2	CID:6918736
CTRPv2	CID:9911830
CTRPv2	CID:11972519
CTRPv2	CID:4096211
CTRPv2	CID:3035652
CTRPv2	CID:71729979
CTRPv2	CID:2858523
CTRPv2	CID:10410894
CTRPv2	CID:5329102
CTRPv2	CID:2113511
CTRPv2	CID:16760709
CTRPv2	NAME:41
CTRPv2	CID:46199207
CTRPv2	CID:3384730
CTRPv2	CID:11228183
CTRPv2	CID:25022340
CTRPv2	CID:5291
CTRPv2	NAME:R136
