cohort	cohort_label	system	TF	n	skewness	z	p_value	FDR
PDMR_LUAD	PDMR PDX	PDX	ELF3	22	-0.667700991778217	-1.27855005880851	0.201055546090268	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ETV1	22	0.358159494054718	0.685823217016563	0.492824593864237	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	FOXA3	22	0.845937573225231	1.6198471281509	0.105265119705622	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	FOXD2	22	-0.616996358810546	-1.18145807862435	0.237420797584881	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	MAGED2	22	0.154511143557709	0.295866314585163	0.767332177015603	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	MXD4	22	-0.553453581837734	-1.05978292427258	0.289243366961703	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	NCOA7	22	-0.0604958687952478	-0.115840769383682	0.90777873870389	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	NFATC4	22	0.174666303401514	0.334460507376406	0.738032087190998	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	NR3C2	22	0.50309358212272	0.963350866525064	0.335371474496411	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	PHC2	22	-0.0899364054301042	-0.172215105065892	0.863268423169014	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	WWC2	22	0.0396162986595661	0.0758594364912794	0.939530928817958	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	XBP1	22	0.0901796272155662	0.172680839327089	0.862902305528637	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZBTB18	22	0.0128256537007537	0.024559257055594	0.980406517648372	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF117	22	0.419443811857621	0.803173751306271	0.421874314765766	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF141	22	-0.369385109601878	-0.707318634268768	0.479368487999864	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF19	22	-0.495672096894467	-0.949139804250377	0.342549512240986	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF254	22	-0.580341341022443	-1.1112690632931	0.266452551532765	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF281	22	-0.437241545293894	-0.837253816203289	0.40244991315503	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF33A	22	0.424381132481098	0.812628000515474	0.416431372711461	0.980406517648372
