cohort	cohort_label	system	TF	n	pearson_r	p_value	FDR	anchor_display_support
DEPMAP_LUAD	DepMap cell lines	Cell line	ETV1	76	0.235612737617777	0.0404694681472115	0.362192494186683	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	FOXA3	76	-0.0919612294678327	0.429475860436209	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	FOXD2	76	0.235935441400467	0.0401878351011941	0.362192494186683	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	MAGED2	76	-0.12662906254484	0.275701766484469	0.94963941789095	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	MXD4	76	0.0836780648402367	0.472350256218062	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	NCOA7	76	-0.243766295909445	0.0338369772686902	0.362192494186683	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	NFATC4	76	-0.0148787343167884	0.898491553730858	0.998490549746172	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	NR3C2	76	0.152392902950495	0.188777809660154	0.731514012433098	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	PHC2	76	0.221307912357508	0.0547016546641959	0.362192494186683	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	WWC2	76	0.0353546573805213	0.761736349967505	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	XBP1	76	-0.218083502933114	0.0584181442236585	0.362192494186683	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZBTB18	76	0.025120760999307	0.829453769679206	0.98896411000213	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF117	76	0.0520731020509654	0.655061029458186	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF141	76	0.00403174242606271	0.972426186955548	0.998490549746172	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF19	76	0.0632481292294831	0.58727432275006	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF254	76	0.0574237119587193	0.622211499133901	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF281	76	-0.0469977672672478	0.686838176745116	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF33A	76	-0.090677688689377	0.435970725105505	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF33B	76	0.0780172114154886	0.50292898787542	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF341	76	0.173811760404926	0.1332009015144	0.589889706706628	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF444	76	-0.00256556863202185	0.982451577181853	0.998490549746172	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF540	76	-0.0554511434804815	0.634240743484613	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF678	76	-0.00747144124182084	0.948925715321659	0.998490549746172	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF75D	76	0.0279830598635014	0.810365470376242	0.98896411000213	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	ABHD14B	108	-0.315670126079436	0.000875079095917449	0.00129178342730671	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	CREB3L2	108	-0.485031930047478	1.03901293106148e-07	4.02617510786324e-07	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	CREBRF	108	-0.406308456706023	1.28232263744804e-05	2.48450011005558e-05	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	CRY2	108	-0.629866335923469	2.81940845848101e-13	4.37008311064557e-12	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	CSRNP1	108	-0.45160814284032	9.30766412852049e-07	2.62306898167396e-06	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	E2F5	108	-0.241664662818048	0.0117456874368957	0.0140044734824526	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	ELF3	108	-0.434162534570929	2.67365880768131e-06	5.92024450272291e-06	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	ETV1	108	-0.307458452565095	0.0012087774887651	0.00162922183268339	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	FOXA3	108	-0.414687944796886	8.11881880092409e-06	1.67788921885765e-05	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	FOXD2	108	-0.313835708144959	0.000941314231287794	0.00132639732590553	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	MAGED2	108	-0.379228390030887	5.17760843120645e-05	8.91699229818889e-05	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	MXD4	108	-0.271450048031137	0.00448697694258812	0.00579567855084299	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	NCOA7	108	-0.445325946604075	1.37024314570887e-06	3.26750288592114e-06	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	NFATC4	108	-0.115246175430368	0.234951984892365	0.242783717722111	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	NR3C2	108	-0.585595927816634	2.79862824425307e-11	1.7351495114369e-10	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	PHC2	108	-0.223986960996446	0.0197878746788056	0.0219080041086776	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	WWC2	108	-0.615683037624796	1.33036268178415e-12	1.37470810451029e-11	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	XBP1	108	0.12557802501661	0.195322843932238	0.208793384893082	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZBTB18	108	-0.567531320030883	1.50742897537757e-10	7.7883830394508e-10	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF117	108	-0.264399976249567	0.00568982603980457	0.00705538428935766	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF141	108	-0.32332172141322	0.00064225049607844	0.000995488268921581	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF19	108	-0.657487389171298	1.08134304708373e-14	3.35216344595957e-13	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF254	108	-0.448871954696448	1.10256945990772e-06	2.84830443809494e-06	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF281	108	-0.396039937960646	2.20845155467453e-05	4.0271763644065e-05	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF33A	108	-0.478427368608089	1.63263780863163e-07	5.62353022973118e-07	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF33B	108	-0.560620385477607	2.79568342643565e-10	1.23808837456436e-09	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF341	108	-0.107347346140348	0.268811352189861	0.268811352189861	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF444	108	-0.224393487110854	0.0195598012598537	0.0219080041086776	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF540	108	-0.602530636457952	5.2398552556342e-12	4.06088782311651e-11	TRUE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF678	108	-0.336830590096045	0.000364601872321227	0.000594876739050423	FALSE
GSE81089_LUAD	GSE81089 patients	Additional patient	ZNF75D	108	-0.475081688557986	2.04526754765222e-07	6.34032939772189e-07	TRUE
