cohort	cohort_label	score	TF	n	pearson_r	p_value	FDR	anchor_display_support
GSE41271_LUAD	GSE41271 patients	StromalScore	FOXA3	183	-0.211564965151212	0.00404023214070896	0.00626235981809889	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	FOXD2	183	-0.390753419218969	4.53113522684426e-08	3.5116298008043e-07	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	MAGED2	183	-0.291722888262553	6.15420778304201e-05	0.000190780441274302	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	MXD4	183	-0.212894788556554	0.00380975421351738	0.00621591476942309	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	NCOA7	183	0.34741349545055	1.44671368676442e-06	7.47468738161616e-06	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	NFATC4	183	-0.321630647860889	9.00982529467366e-06	3.49130730168604e-05	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	NR3C2	183	0.0806636152546695	0.277704702333841	0.296856750770657	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	PHC2	183	0.0821645828663039	0.268831947258107	0.296856750770657	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	WWC2	183	0.296854174990429	4.4915843540766e-05	0.000154710127751527	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	XBP1	183	0.183155328354923	0.0130745613290694	0.0176222348348326	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZBTB18	183	-0.286015227103559	8.67507612720869e-05	0.000244479418130427	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF117	183	-0.0728292965880819	0.327200951911793	0.329784584881223	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF141	183	-0.214458752803939	0.00355390191058179	0.00612060884600197	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF19	183	-0.451131836844079	1.46448608464983e-10	2.26995343120724e-09	TRUE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF254	183	-0.239567721311962	0.00108961814379538	0.00211113515360355	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF281	183	-0.0724423353390031	0.329784584881223	0.329784584881223	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF33A	183	-0.183664462082512	0.0128193005832682	0.0176222348348326	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF33B	183	-0.196832933377501	0.00757070016899644	0.0111757954875662	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF341	183	-0.511031587593567	1.45126369105001e-13	4.49891744225503e-12	TRUE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF444	183	-0.383386011672756	8.46485867819898e-08	5.24821238048337e-07	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF540	183	0.0879154518284425	0.236634070065454	0.271690969334411	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF678	183	-0.271340756862347	0.000202860546495555	0.000483744380104785	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ZNF75D	183	-0.159425489143557	0.031107330460743	0.0401803018451264	FALSE
