pair	CTRPv2	GDSC2	PRISM
CID:72376::CREBRF	TRUE	FALSE	FALSE
CID:73549::ZNF444	FALSE	FALSE	TRUE
CID:753704::ELF3	FALSE	FALSE	TRUE
CID:78209992::ETV1	FALSE	TRUE	FALSE
CID:9799508::FOXD2	FALSE	FALSE	TRUE
CID:9804992::ZNF254	FALSE	FALSE	TRUE
CID:9850876::ETV1	FALSE	FALSE	TRUE
CID:9907093::ZNF19	TRUE	FALSE	FALSE
CID:9926054::PHC2	TRUE	FALSE	FALSE
CID:9926054::WWC2	TRUE	FALSE	FALSE
CID:9933475::CREB3L2	FALSE	FALSE	TRUE
CID:9933475::NFATC4	TRUE	FALSE	FALSE
CID:9933475::ZBTB18	FALSE	TRUE	FALSE
CID:9933475::ZNF33A	TRUE	FALSE	FALSE
CID:9933475::ZNF75D	TRUE	FALSE	FALSE
CID:9967941::ZNF678	TRUE	FALSE	FALSE
INCHI:RTKIYFITIVXBLE-WKWSCTOISA-N::ZNF254	FALSE	FALSE	TRUE
NAME:1S3RRSL3::ZNF254	TRUE	FALSE	FALSE
NAME:681640::FOXD2	FALSE	TRUE	FALSE
NAME:681640::ZNF19	FALSE	TRUE	FALSE
NAME:681640::ZNF254	FALSE	TRUE	FALSE
NAME:681640::ZNF540	FALSE	TRUE	FALSE
NAME:81::ZNF281	TRUE	FALSE	FALSE
NAME:BDP00009066::CRY2	FALSE	TRUE	FALSE
NAME:BDP00009066::ZNF117	FALSE	TRUE	FALSE
NAME:BRDK29086754::CRY2	TRUE	FALSE	FALSE
NAME:BRDK29086754::ELF3	TRUE	FALSE	FALSE
NAME:BRDK29086754::MAGED2	TRUE	FALSE	FALSE
NAME:BRDK29086754::NR3C2	TRUE	FALSE	FALSE
NAME:BRDK34222889::XBP1	TRUE	FALSE	FALSE
NAME:BRDK35604418::PHC2	TRUE	FALSE	FALSE
NAME:BRDK50799972::PHC2	TRUE	FALSE	FALSE
NAME:BRDK50799972::WWC2	TRUE	FALSE	FALSE
NAME:BRDK55116708::PHC2	TRUE	FALSE	FALSE
NAME:BRDK71935468::ABHD14B	TRUE	FALSE	FALSE
NAME:BRDK71935468::ELF3	TRUE	FALSE	FALSE
NAME:BRDK71935468::FOXD2	TRUE	FALSE	FALSE
NAME:BRDK71935468::ZNF444	TRUE	FALSE	FALSE
NAME:BRDK94991378::MAGED2	TRUE	FALSE	FALSE
NAME:BRDK99006945::XBP1	TRUE	FALSE	FALSE
NAME:CDK95038::ZNF254	FALSE	TRUE	FALSE
NAME:CDK95576::ZNF254	FALSE	TRUE	FALSE
NAME:CPP::FOXA3	FALSE	FALSE	TRUE
NAME:KRASG12CI12::ZNF254	FALSE	TRUE	FALSE
NAME:M60::ZNF254	TRUE	FALSE	FALSE
NAME:ML210::ZNF254	TRUE	FALSE	FALSE
NAME:ML312::CREB3L2	TRUE	FALSE	FALSE
NAME:ML312::CRY2	TRUE	FALSE	FALSE
NAME:ML312::ETV1	TRUE	FALSE	FALSE
NAME:ML312::MAGED2	TRUE	FALSE	FALSE
NAME:SNX21122501::NR3C2	TRUE	FALSE	FALSE
NAME:SRII138A::MAGED2	TRUE	FALSE	FALSE
NAME:TAF15496::PHC2	FALSE	TRUE	FALSE
NAME:VAF347::ZNF341	TRUE	FALSE	FALSE
