analysis_definition	system	activity_cohort	TF	n_samples	half_sample_threshold	n_promoter_accessible	fraction_promoter_accessible	system_promoter_accessible	mean_LUAD_NES	mean_NES_nonnegative
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MESP1	22	11	22	1.0	TRUE	4.91558425445857	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MITF	22	11	22	1.0	TRUE	1.97405581425123	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MLLT3	22	11	22	1.0	TRUE	3.68556019946152	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MLLT6	22	11	22	1.0	TRUE	4.96626195809783	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MSANTD1	22	11	0	0.0	FALSE	4.16880126955788	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MXD4	22	11	22	1.0	TRUE	4.44392740904078	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MYRF	22	11	22	1.0	TRUE	3.03802092614382	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MYRFL	22	11	21	0.9545454545454546	TRUE	1.66641930888815	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NANOGP1	22	11	22	1.0	TRUE	-0.00247655693586349	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NCOA7	22	11	22	1.0	TRUE	3.85216585680798	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NEUROG3	22	11	0	0.0	FALSE	-0.126409706311773	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NFATC2	22	11	22	1.0	TRUE	1.6668693447914	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NFATC4	22	11	22	1.0	TRUE	3.63066285829657	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NFE2	22	11	22	1.0	TRUE	1.90716046954161	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NKX2-1	22	11	22	1.0	TRUE	3.59121002517	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NOTO	22	11	21	0.9545454545454546	TRUE	-0.0453701153807665	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NR0B2	22	11	22	1.0	TRUE	2.5338614265596	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NR1H4	22	11	0	0.0	FALSE	0.45878574363879	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NR2F1	22	11	22	1.0	TRUE	1.44984740066213	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NR2F6	22	11	22	1.0	TRUE	6.34606086392718	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	NR3C2	22	11	22	1.0	TRUE	4.62937391164314	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	OLIG1	22	11	21	0.9545454545454546	TRUE	0.847419005674374	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ONECUT1	22	11	22	1.0	TRUE	1.06010006859526	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	PHC2	22	11	22	1.0	TRUE	8.73096313861103	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	POU1F1	22	11	0	0.0	FALSE	-0.396982890984428	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	PPARGC1A	22	11	22	1.0	TRUE	1.17547889433161	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	PRDM16	22	11	22	1.0	TRUE	1.17665399423207	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	PRDM8	22	11	22	1.0	TRUE	1.47696953403492	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	RARA	22	11	22	1.0	TRUE	7.39485252583488	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	RORB	22	11	22	1.0	TRUE	1.41946980581635	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	RORC	22	11	22	1.0	TRUE	4.71638234602674	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	SAMD11	22	11	22	1.0	TRUE	1.43461515024081	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	SMAD6	22	11	22	1.0	TRUE	1.64804462499274	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	SMAD7	22	11	22	1.0	TRUE	2.04620328613556	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	SP110	22	11	22	1.0	TRUE	3.03325699113213	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	SP5	22	11	22	1.0	TRUE	0.691548364566159	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	SPDEF	22	11	22	1.0	TRUE	3.71084519007246	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	TBX15	22	11	0	0.0	FALSE	2.14049034348362	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	TBX4	22	11	22	1.0	TRUE	0.685650734208334	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	TBXT	22	11	0	0.0	FALSE	-0.119673946775767	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	TCF21	22	11	0	0.0	FALSE	3.6112891718432	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	TFCP2L1	22	11	22	1.0	TRUE	3.04870949867569	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	TOX3	22	11	22	1.0	TRUE	3.7088476828776	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	TP53INP1	22	11	22	1.0	TRUE	-0.607358689439888	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	VDR	22	11	22	1.0	TRUE	5.63839163621946	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	VENTX	22	11	0	0.0	FALSE	2.64319048671033	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	VSX1	22	11	16	0.7272727272727273	TRUE	1.78223177590866	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	WTIP	22	11	21	0.9545454545454546	TRUE	3.22609279653159	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	WWC1	22	11	22	1.0	TRUE	5.94385560499317	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	WWC2	22	11	22	1.0	TRUE	3.69844054143666	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	XBP1	22	11	22	1.0	TRUE	1.38467043956622	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZBTB10	22	11	22	1.0	TRUE	1.76364879203115	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZBTB16	22	11	22	1.0	TRUE	2.19329373794059	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZBTB18	22	11	22	1.0	TRUE	2.7129559504431	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZBTB42	22	11	22	1.0	TRUE	5.04513990232523	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZBTB46	22	11	22	1.0	TRUE	3.36099785883395	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZFHX2	22	11	22	1.0	TRUE	1.46013403182178	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZFP2	22	11	22	1.0	TRUE	1.62800019344276	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZFP57	22	11	0	0.0	FALSE	0.944491156127686	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZMYND15	22	11	22	1.0	TRUE	4.53957897699354	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF117	22	11	22	1.0	TRUE	1.45397263073166	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF141	22	11	22	1.0	TRUE	1.93869288473252	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF19	22	11	22	1.0	TRUE	3.51263691428844	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF214	22	11	22	1.0	TRUE	2.11113165828075	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF239	22	11	22	1.0	TRUE	0.753954177831367	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF254	22	11	22	1.0	TRUE	1.48441996619309	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF281	22	11	22	1.0	TRUE	3.15495766754712	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF33A	22	11	22	1.0	TRUE	1.03386505705428	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF33B	22	11	22	1.0	TRUE	1.3727921999881	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF341	22	11	22	1.0	TRUE	3.3306570610196	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF382	22	11	19	0.8636363636363636	TRUE	0.847219961420617	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF396	22	11	22	1.0	TRUE	3.11536646866569	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF429	22	11	22	1.0	TRUE	1.05333986414706	TRUE
