analysis_definition	TF	patient_promoter_accessible	PDX_promoter_accessible	cell_line_promoter_accessible	triple_system_promoter_accessible	all_three_system_mean_NES_negative	retained_by_anchor_activity_rule	HC_TF_promoter_activity_definition	exclusion_reason
PRIMARY_anchor_promoter_tcga_cpm1_both	NR1H4	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	NR2F1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	NR2F6	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	NR3C2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	OLIG1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ONECUT1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	PHC2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	POU1F1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	PPARGC1A	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	PRDM16	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	PRDM8	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
