comparison_type	left_run	left_k	right_run	right_k	permutations	cosine_null_q99	jaccard_null_q99
same_k_cross_input	seed_20260813	8	patient_holdout_A	8	100	0.029940857505151137	0.010204081632652968
same_k_cross_input	seed_20260813	9	patient_holdout_A	9	100	0.03890829223764138	0.010101010101010102
same_k_cross_input	seed_20260813	10	patient_holdout_A	10	100	0.040135746221424864	0.010101010101010102
same_k_cross_input	seed_20260813	11	patient_holdout_A	11	100	0.04075140829388286	0.010204081632652968
same_k_cross_input	seed_20260813	12	patient_holdout_A	12	100	0.03584609788094458	0.010101010101010102
same_k_cross_input	seed_20260813	13	patient_holdout_A	13	100	0.035985715667175816	0.02040816326530612
same_k_cross_input	seed_20260813	14	patient_holdout_A	14	100	0.033820451297990245	0.010101010101010102
same_k_cross_input	seed_20260813	15	patient_holdout_A	15	100	0.03594748811235981	0.02040816326530612
same_k_cross_input	seed_20260813	16	patient_holdout_A	16	100	0.03184455696537059	0.02040816326530612
same_k_cross_input	seed_20260813	17	patient_holdout_A	17	100	0.03292034753296652	0.02040816326530612
same_k_cross_input	seed_20260813	18	patient_holdout_A	18	100	0.039542078785593265	0.02040816326530612
same_k_cross_input	seed_20260813	19	patient_holdout_A	19	100	0.040537175550757296	0.02040816326530612
same_k_cross_input	seed_20260813	20	patient_holdout_A	20	100	0.04210152402322905	0.02040816326530612
same_k_cross_input	seed_20260813	5	patient_holdout_B	5	100	0.018269859322259475	0.010101010101010102
same_k_cross_input	seed_20260813	6	patient_holdout_B	6	100	0.024985454635220273	0.010101010101010102
same_k_cross_input	seed_20260813	7	patient_holdout_B	7	100	0.028797188699383174	0.010101010101010102
same_k_cross_input	seed_20260813	8	patient_holdout_B	8	100	0.030485737586332887	0.010204081632652968
same_k_cross_input	seed_20260813	9	patient_holdout_B	9	100	0.030951719840144252	0.010101010101010102
same_k_cross_input	seed_20260813	10	patient_holdout_B	10	100	0.030388576874684742	0.010101010101010102
same_k_cross_input	seed_20260813	11	patient_holdout_B	11	100	0.031435661599877665	0.02040816326530612
same_k_cross_input	seed_20260813	12	patient_holdout_B	12	100	0.030963740389284157	0.02040816326530612
same_k_cross_input	seed_20260813	13	patient_holdout_B	13	100	0.04682997010477082	0.010101010101010102
same_k_cross_input	seed_20260813	14	patient_holdout_B	14	100	0.04777327679084297	0.010101010101010102
same_k_cross_input	seed_20260813	15	patient_holdout_B	15	100	0.047658422635810466	0.02040816326530612
same_k_cross_input	seed_20260813	16	patient_holdout_B	16	100	0.04603814548736642	0.02040816326530612
same_k_cross_input	seed_20260813	17	patient_holdout_B	17	100	0.049351414909778256	0.02040816326530612
same_k_cross_input	seed_20260813	18	patient_holdout_B	18	100	0.04872071176011638	0.02040816326530612
same_k_cross_input	seed_20260813	19	patient_holdout_B	19	100	0.048866930446419	0.02040816326530612
same_k_cross_input	seed_20260813	20	patient_holdout_B	20	100	0.04600945983535686	0.02040816326530612
same_k_cross_input	cell_resample_20260813	5	patient_holdout_A	5	100	0.019595836752665977	0.010101010101010102
same_k_cross_input	cell_resample_20260813	6	patient_holdout_A	6	100	0.026226400188881446	0.010101010101010102
same_k_cross_input	cell_resample_20260813	7	patient_holdout_A	7	100	0.028210917008500924	0.010101010101010102
same_k_cross_input	cell_resample_20260813	8	patient_holdout_A	8	100	0.03270862435716184	0.02040816326530612
same_k_cross_input	cell_resample_20260813	9	patient_holdout_A	9	100	0.04085542018291364	0.02040816326530612
same_k_cross_input	cell_resample_20260813	10	patient_holdout_A	10	100	0.04326296970517075	0.010101010101010102
same_k_cross_input	cell_resample_20260813	11	patient_holdout_A	11	100	0.04422171859015366	0.010101010101010102
same_k_cross_input	cell_resample_20260813	12	patient_holdout_A	12	100	0.03719682485583001	0.02040816326530612
same_k_cross_input	cell_resample_20260813	13	patient_holdout_A	13	100	0.035584287531377545	0.02040816326530612
same_k_cross_input	cell_resample_20260813	14	patient_holdout_A	14	100	0.03486760180447144	0.02040816326530612
same_k_cross_input	cell_resample_20260813	15	patient_holdout_A	15	100	0.038026276909335535	0.02040816326530612
same_k_cross_input	cell_resample_20260813	16	patient_holdout_A	16	100	0.034251905120003714	0.02040816326530612
same_k_cross_input	cell_resample_20260813	17	patient_holdout_A	17	100	0.03404696210448252	0.02040816326530612
same_k_cross_input	cell_resample_20260813	18	patient_holdout_A	18	100	0.04215940033782459	0.02040816326530612
same_k_cross_input	cell_resample_20260813	19	patient_holdout_A	19	100	0.04118201965587162	0.02040816326530612
same_k_cross_input	cell_resample_20260813	20	patient_holdout_A	20	100	0.040625755428524965	0.02040816326530612
same_k_cross_input	cell_resample_20260813	5	patient_holdout_B	5	100	0.018294479817170615	0.010101010101010102
same_k_cross_input	cell_resample_20260813	6	patient_holdout_B	6	100	0.026976323377541366	0.010101010101010102
same_k_cross_input	cell_resample_20260813	7	patient_holdout_B	7	100	0.03050430091096343	0.010101010101010102
same_k_cross_input	cell_resample_20260813	8	patient_holdout_B	8	100	0.03252322721896141	0.010101010101010102
same_k_cross_input	cell_resample_20260813	9	patient_holdout_B	9	100	0.03407473034718693	0.010101010101010102
same_k_cross_input	cell_resample_20260813	10	patient_holdout_B	10	100	0.031605680450783574	0.010101010101010102
same_k_cross_input	cell_resample_20260813	11	patient_holdout_B	11	100	0.032196232456328536	0.02040816326530612
same_k_cross_input	cell_resample_20260813	12	patient_holdout_B	12	100	0.028576466880956136	0.010101010101010102
same_k_cross_input	cell_resample_20260813	13	patient_holdout_B	13	100	0.049811159262264454	0.02040816326530612
same_k_cross_input	cell_resample_20260813	14	patient_holdout_B	14	100	0.04938273466796531	0.010101010101010102
same_k_cross_input	cell_resample_20260813	15	patient_holdout_B	15	100	0.05049176026172201	0.02040816326530612
same_k_cross_input	cell_resample_20260813	16	patient_holdout_B	16	100	0.050442294542904866	0.02040816326530612
same_k_cross_input	cell_resample_20260813	17	patient_holdout_B	17	100	0.054188070098797204	0.02040816326530612
same_k_cross_input	cell_resample_20260813	18	patient_holdout_B	18	100	0.050661701623961185	0.02040816326530612
same_k_cross_input	cell_resample_20260813	19	patient_holdout_B	19	100	0.049680681278792244	0.02040816326530612
same_k_cross_input	cell_resample_20260813	20	patient_holdout_B	20	100	0.04673208976983882	0.02040816326530612
same_k_independent_patient_holdout	patient_holdout_A	5	patient_holdout_B	5	100	0.01890831001014274	0.010101010101010102
same_k_independent_patient_holdout	patient_holdout_A	6	patient_holdout_B	6	100	0.02835016643585763	0.010101010101010102
same_k_independent_patient_holdout	patient_holdout_A	7	patient_holdout_B	7	100	0.025654008976522213	0.02040816326530612
same_k_independent_patient_holdout	patient_holdout_A	8	patient_holdout_B	8	100	0.027185628136020955	0.010101010101010102
same_k_independent_patient_holdout	patient_holdout_A	9	patient_holdout_B	9	100	0.03099070323107915	0.010101010101010102
same_k_independent_patient_holdout	patient_holdout_A	10	patient_holdout_B	10	100	0.028675148403076556	0.010101010101010102
