system	sample_1	sample_2	pearson_r
patient	TCGA-73-A9RS	TCGA-L4-A4E6	0.602662686973368
patient	TCGA-73-A9RS	TCGA-L9-A8F4	0.73230024349265
patient	TCGA-73-A9RS	TCGA-MP-A4SV	0.608634003203562
patient	TCGA-73-A9RS	TCGA-MP-A4T4	0.598580262471102
patient	TCGA-73-A9RS	TCGA-MP-A4T7	0.773538854858918
patient	TCGA-73-A9RS	TCGA-MP-A4TE	0.605098244588966
patient	TCGA-73-A9RS	TCGA-MP-A4TF	0.730988265614605
patient	TCGA-73-A9RS	TCGA-NJ-A4YG	0.61213039567226
patient	TCGA-86-A4D0	TCGA-44-3918	0.511824159272371
patient	TCGA-86-A4D0	TCGA-44-6146	0.426259584913733
patient	TCGA-86-A4D0	TCGA-44-A47F	0.453206625202223
patient	TCGA-86-A4D0	TCGA-49-AARO	0.448738524936197
patient	TCGA-86-A4D0	TCGA-4B-A93V	0.635330436570623
patient	TCGA-86-A4D0	TCGA-73-A9RS	0.490388753182051
patient	TCGA-86-A4D0	TCGA-86-A4D0	1.0
patient	TCGA-86-A4D0	TCGA-86-A4P7	0.528158906749744
patient	TCGA-86-A4D0	TCGA-86-A4P8	0.385101508755173
patient	TCGA-86-A4D0	TCGA-91-A4BC	0.58357679630676
patient	TCGA-86-A4D0	TCGA-91-A4BD	0.430669470104555
patient	TCGA-86-A4D0	TCGA-93-A4JN	0.423407312502828
patient	TCGA-86-A4D0	TCGA-93-A4JO	0.49638812325897
patient	TCGA-86-A4D0	TCGA-93-A4JQ	0.48586496884985
patient	TCGA-86-A4D0	TCGA-L4-A4E6	0.436682646585483
patient	TCGA-86-A4D0	TCGA-L9-A8F4	0.544272251449227
patient	TCGA-86-A4D0	TCGA-MP-A4SV	0.541876185778482
patient	TCGA-86-A4D0	TCGA-MP-A4T4	0.424865159295355
patient	TCGA-86-A4D0	TCGA-MP-A4T7	0.436787520004156
patient	TCGA-86-A4D0	TCGA-MP-A4TE	0.695998163492454
patient	TCGA-86-A4D0	TCGA-MP-A4TF	0.456125288107736
patient	TCGA-86-A4D0	TCGA-NJ-A4YG	0.468420014223552
patient	TCGA-86-A4P7	TCGA-44-3918	0.733490428524554
patient	TCGA-86-A4P7	TCGA-44-6146	0.655871803186112
patient	TCGA-86-A4P7	TCGA-44-A47F	0.652657991523633
patient	TCGA-86-A4P7	TCGA-49-AARO	0.739537859222381
patient	TCGA-86-A4P7	TCGA-4B-A93V	0.636546460789643
patient	TCGA-86-A4P7	TCGA-73-A9RS	0.643760285943734
patient	TCGA-86-A4P7	TCGA-86-A4D0	0.528158906749744
patient	TCGA-86-A4P7	TCGA-86-A4P7	1.0
patient	TCGA-86-A4P7	TCGA-86-A4P8	0.767281087953749
patient	TCGA-86-A4P7	TCGA-91-A4BC	0.730050774872748
patient	TCGA-86-A4P7	TCGA-91-A4BD	0.777008552425253
patient	TCGA-86-A4P7	TCGA-93-A4JN	0.794380416382075
patient	TCGA-86-A4P7	TCGA-93-A4JO	0.821319044356476
patient	TCGA-86-A4P7	TCGA-93-A4JQ	0.76110540082082
patient	TCGA-86-A4P7	TCGA-L4-A4E6	0.738185454209399
patient	TCGA-86-A4P7	TCGA-L9-A8F4	0.785137937744697
patient	TCGA-86-A4P7	TCGA-MP-A4SV	0.778990672426754
patient	TCGA-86-A4P7	TCGA-MP-A4T4	0.684639704527706
patient	TCGA-86-A4P7	TCGA-MP-A4T7	0.70844038669166
patient	TCGA-86-A4P7	TCGA-MP-A4TE	0.615774808071752
patient	TCGA-86-A4P7	TCGA-MP-A4TF	0.696484508585736
patient	TCGA-86-A4P7	TCGA-NJ-A4YG	0.791420884494311
patient	TCGA-86-A4P8	TCGA-44-3918	0.735825971654786
patient	TCGA-86-A4P8	TCGA-44-6146	0.706224636152978
patient	TCGA-86-A4P8	TCGA-44-A47F	0.645118802478592
patient	TCGA-86-A4P8	TCGA-49-AARO	0.730844513157439
patient	TCGA-86-A4P8	TCGA-4B-A93V	0.535303776137466
patient	TCGA-86-A4P8	TCGA-73-A9RS	0.577864885771341
patient	TCGA-86-A4P8	TCGA-86-A4D0	0.385101508755173
patient	TCGA-86-A4P8	TCGA-86-A4P7	0.767281087953749
patient	TCGA-86-A4P8	TCGA-86-A4P8	1.0
patient	TCGA-86-A4P8	TCGA-91-A4BC	0.70593899480573
patient	TCGA-86-A4P8	TCGA-91-A4BD	0.874932059843308
patient	TCGA-86-A4P8	TCGA-93-A4JN	0.814831721806313
patient	TCGA-86-A4P8	TCGA-93-A4JO	0.849953493236982
patient	TCGA-86-A4P8	TCGA-93-A4JQ	0.777731511979323
patient	TCGA-86-A4P8	TCGA-L4-A4E6	0.785450751004748
patient	TCGA-86-A4P8	TCGA-L9-A8F4	0.819853436440217
patient	TCGA-86-A4P8	TCGA-MP-A4SV	0.722210017104156
patient	TCGA-86-A4P8	TCGA-MP-A4T4	0.743328540015942
patient	TCGA-86-A4P8	TCGA-MP-A4T7	0.740764316826559
