system	sample_id	category	peak_count	total_peaks	fraction	hierarchical_definition
cell_line	PC-9	distal	10241	31736	0.32269347113687924	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-Ad1	promoter	5775	14327	0.40308508410693095	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-Ad1	exonic	404	14327	0.028198506316744608	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-Ad1	intronic	4008	14327	0.2797515181126544	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-Ad1	distal	4140	14327	0.28896489146367	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-Ad2	promoter	7247	15681	0.46215164849180534	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-Ad2	exonic	339	15681	0.02161851922709011	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-Ad2	intronic	3485	15681	0.22224347936993813	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-Ad2	distal	4610	15681	0.29398635291116637	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-KJ	promoter	4243	7253	0.5849993106300841	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-KJ	exonic	120	7253	0.016544877981524885	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-KJ	intronic	1295	7253	0.1785468082172894	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-KJ	distal	1595	7253	0.21990900317110162	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-MS	promoter	9148	14675	0.6233730834752981	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-MS	exonic	333	14675	0.022691652470187392	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-MS	intronic	1969	14675	0.13417376490630323	promoter_then_exonic_then_intronic_then_distal
cell_line	RERF-LC-MS	distal	3225	14675	0.21976149914821125	promoter_then_exonic_then_intronic_then_distal
cell_line	VMRC-LCD	promoter	6885	10163	0.6774574436682083	promoter_then_exonic_then_intronic_then_distal
cell_line	VMRC-LCD	exonic	202	10163	0.019876020859982288	promoter_then_exonic_then_intronic_then_distal
cell_line	VMRC-LCD	intronic	1147	10163	0.11286037587326576	promoter_then_exonic_then_intronic_then_distal
cell_line	VMRC-LCD	distal	1929	10163	0.18980615959854374	promoter_then_exonic_then_intronic_then_distal
