cohort	endpoint	model	TF	n	events	beta	HR	lower95	upper95	p_value	model_likelihood_p	FDR	log2_HR	direction	nominal_significant	FDR_significant
GSE41271_LUAD	RFS	multivariable	FOXA3	177	69	0.341588565175851	1.40718121503917	0.840415724413514	2.3561660193126	0.193986930943394	0.000231580693428426	0.630457525566031	0.492808129003577	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	FOXD2	177	69	0.0308768729946949	1.03135850798389	0.642438342708344	1.65572367226165	0.898270495413447	0.898264281576144	0.973997426930399	0.0445459115476046	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	FOXD2	177	69	0.0260498543759415	1.02639211733642	0.612164730717713	1.72091060733802	0.921302339892142	0.000463519874212822	0.958154433487828	0.0375819957240505	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	MAGED2	177	69	0.0729523369625351	1.0756792655517	0.670265584186616	1.72630955495352	0.762446100112657	0.762431918587276	0.973997426930399	0.10524797475711	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	MAGED2	177	69	-0.103537434878778	0.90164226924103	0.54681054541519	1.48672842632331	0.684914842201664	0.000434846313718527	0.847989804630632	-0.149372943845977	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	MXD4	177	69	-0.174816178082469	0.839611345552154	0.523301013200794	1.34711608385403	0.468625562356241	0.468721782932086	0.870304615804449	-0.25220643318674	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	MXD4	177	69	-0.0597330479910825	0.942015973078062	0.538501738691006	1.6478945744749	0.834175710145595	0.000457043950130788	0.915116431604557	-0.0861765721139172	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	NCOA7	177	69	-0.378137095031691	0.685136565407841	0.425435350060937	1.10336885073518	0.119861363520308	0.117917621842934	0.763393305907853	-0.54553651177838	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	NCOA7	177	69	-0.412070949941228	0.662277285850658	0.400121110183083	1.09619610710622	0.108993732018478	0.000159109804895268	0.630457525566031	-0.594492715974614	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	NFATC4	177	69	-0.182067715002056	0.833544895010377	0.519196824706912	1.33821521807279	0.450977136978466	0.450712940849079	0.870304615804449	-0.262668189539451	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	NFATC4	177	69	-0.280105013097932	0.75570437843082	0.444581666939782	1.28455388525246	0.300747123359948	0.000297944611546597	0.649506853277496	-0.404106113324525	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	NR3C2	177	69	-0.0537496039579456	0.947669369454994	0.590657349689787	1.52047076748456	0.823667758141677	0.823745648263803	0.973997426930399	-0.077544287079874	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	NR3C2	177	69	-0.150545488148432	0.860238598456355	0.512301652194332	1.44448186552685	0.569155548419673	0.000407227855050721	0.774157686031748	-0.217191229179952	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	PHC2	177	69	-0.0372902948351566	0.963396425745289	0.599776641733862	1.54746385330331	0.877433619120737	0.877468050132347	0.973997426930399	-0.0537985234319677	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	PHC2	177	69	-0.162623795336686	0.849910868710421	0.513350150463196	1.40712627453275	0.527258256502042	0.000394795915425679	0.774157686031748	-0.234616543062778	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	WWC2	177	69	-0.485142570709074	0.615609422635526	0.382285406812585	0.991340382039324	0.0459619697047027	0.0447390674351702	0.763393305907853	-0.699912780886104	Favorable	TRUE	FALSE
GSE41271_LUAD	RFS	multivariable	WWC2	177	69	-0.438391942095756	0.645072902078065	0.392650212250736	1.05977034014614	0.0834921665012552	0.000132784015574254	0.630457525566031	-0.632465880827229	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	XBP1	177	69	-0.291434216338974	0.747191164956592	0.46304972641279	1.20569045859125	0.232569910092227	0.230869292591669	0.870304615804449	-0.420450698657599	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	XBP1	177	69	-0.333609372718393	0.716333547007965	0.434953605174528	1.17974364268831	0.189996022164996	0.000227242482106684	0.630457525566031	-0.481296587614903	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZNF117	177	69	-0.00173912906935404	0.998262382339301	0.622098538843967	1.60188092684732	0.994249167924861	0.994249145214728	0.994249167924861	-0.00250903288382297	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF117	177	69	-0.162158350307038	0.850306547576144	0.513889158986873	1.40695948183902	0.527963067065044	0.000394692448709836	0.774157686031748	-0.233945047826698	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZNF141	177	69	-0.138540569395385	0.870627929703921	0.542209912208969	1.39796963300148	0.566381941932124	0.566401345267131	0.887638942971358	-0.199871792428655	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF141	177	69	-0.0796531071733603	0.923436624373208	0.564123293838863	1.5116113951454	0.751412475500411	0.000446530856797755	0.888032925591395	-0.114915142710404	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZNF19	177	69	-0.217196485344167	0.804771827899695	0.501312431144843	1.29192426667331	0.368456578799956	0.367670249276472	0.870304615804449	-0.313348292304542	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF19	177	69	-0.257511417986175	0.772972800470347	0.4730762485671	1.26298234603132	0.303970735428406	0.000299614588483149	0.649506853277496	-0.37151044570094	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZNF254	177	69	-0.179083337310733	0.836036223483234	0.520837071797017	1.34198697601255	0.458270738535676	0.458380910666729	0.870304615804449	-0.25836264264404	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF254	177	69	-0.250138930606927	0.778692591321685	0.473311637799241	1.28110551981921	0.324753426638748	0.000312016633883925	0.649506853277496	-0.360874194719882	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZNF281	177	69	0.285018133260671	1.32978614126158	0.828062129862878	2.13550543820208	0.238271771321472	0.23808471026563	0.870304615804449	0.4111942474186	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF281	177	69	0.275992992069775	1.31783862867379	0.814421516277983	2.13243218224606	0.261023063396424	0.000275507823088944	0.649506853277496	0.398173720979172	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZNF33A	177	69	-0.385150577234388	0.680348183543363	0.422559491651325	1.09540469447718	0.112972895279537	0.111069978070213	0.763393305907853	-0.555654827771573	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF33A	177	69	-0.411265366523764	0.662811020404891	0.404815431723611	1.08523147672424	0.102085457365065	0.000150919366820879	0.630457525566031	-0.593330504773216	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZNF341	177	69	-0.0167283174946987	0.983410823861106	0.611751259302345	1.58086613436657	0.944935094598088	0.944934039419861	0.982732498382011	-0.0241338606920178	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF341	177	69	-0.0104512196827916	0.989603204548757	0.596709761110137	1.64119068645906	0.967700576807306	0.00046507332287312	0.967700576807306	-0.0150779228076046	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZNF444	177	69	0.353120154668928	1.42350217359075	0.883473047729945	2.2936279079755	0.146806404982279	0.144733279188568	0.763393305907853	0.509444695978806	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF444	177	69	0.351803187295313	1.42162870159339	0.858858283539457	2.35315674765946	0.171242663618059	0.000213094502025889	0.630457525566031	0.50754471367988	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZNF540	177	69	-0.242431877912747	0.784717202331703	0.488466381265574	1.26064169665036	0.316183775316994	0.315958201053688	0.870304615804449	-0.349755268018119	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF540	177	69	-0.301259920291218	0.739885436513619	0.451572492348043	1.21227592123354	0.231757971281577	0.000257389210295073	0.649506853277496	-0.434626193022745	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZNF678	177	69	-0.0306111328039957	0.969852643634156	0.604316296067477	1.55649310879933	0.899074547935754	0.899054383179923	0.973997426930399	-0.0441625294923181	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF678	177	69	-0.140231792751614	0.869156747813868	0.527419738349837	1.43231926555108	0.582168989341619	0.000410599568267952	0.774157686031748	-0.202311711977722	Favorable	FALSE	FALSE
