system	TF	TF_role	n_all_samples	n_peak_count_matchable_samples	n_motif_enriched	fraction_enriched_all_samples	fraction_enriched_matchable_samples	half_threshold_all_samples	half_threshold_matchable_samples	support_fixed_original_denominator	support_matchable_denominator	mean_log2_odds_ratio_tested
cell_line	NFATC4	LUAD_HC_TF	19	19	19	1.0	1.0	10	10	TRUE	TRUE	0.3297847280970314
cell_line	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	6	0.3157894736842105	0.3157894736842105	10	10	FALSE	FALSE	0.18178183793671496
cell_line	NR3C2	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.09893502238333803
cell_line	XBP1	LUAD_HC_TF	19	19	18	0.9473684210526315	0.9473684210526315	10	10	TRUE	TRUE	0.2216569426363484
cell_line	ZBTB18	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.19194226842035875
cell_line	ZNF141	LUAD_HC_TF	19	19	2	0.10526315789473684	0.10526315789473684	10	10	FALSE	FALSE	0.04773068615545616
cell_line	ZNF19	LUAD_HC_TF	19	19	2	0.10526315789473684	0.10526315789473684	10	10	FALSE	FALSE	0.19835659750966886
cell_line	ZNF254	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.07941930875979329
cell_line	ZNF281	LUAD_HC_TF	19	19	4	0.21052631578947367	0.21052631578947367	10	10	FALSE	FALSE	0.05878614001374853
cell_line	ZNF33A	LUAD_HC_TF	19	19	5	0.2631578947368421	0.2631578947368421	10	10	FALSE	FALSE	0.10970839563011743
cell_line	ZNF33B	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.06958792240836761
cell_line	ZNF341	LUAD_HC_TF	19	19	1	0.05263157894736842	0.05263157894736842	10	10	FALSE	FALSE	0.5869261437919262
cell_line	ZNF444	LUAD_HC_TF	19	19	1	0.05263157894736842	0.05263157894736842	10	10	FALSE	FALSE	-0.0850975709740687
cell_line	ZNF540	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.03359035615257234
cell_line	ZNF75D	LUAD_HC_TF	19	19	2	0.10526315789473684	0.10526315789473684	10	10	FALSE	FALSE	0.05844622812039846
