dataset	source_drug_id	drug_name	canonical_drug	pubchem_cid	inchikey	target	pathway_or_moa
PRISM	3-(2,4-Diaminopteridin-6-yl)phenol	3-(2,4-Diaminopteridin-6-yl)phenol	CID:17751063	17751063	UOORQSPLBHUQDQ-UHFFFAOYSA-N		PI3K inhibitor
PRISM	TG-101209	TG-101209	CID:16722832	16722832	JVDOKQYTTYUYDV-UHFFFAOYSA-N	JAK2, JAK3	JAK inhibitor
PRISM	Fedratinib	Fedratinib	CID:16722836	16722836	JOOXLOJCABQBSG-UHFFFAOYSA-N	BRD4, JAK1, JAK2, JAK3, TYK2	FLT3 inhibitor, JAK inhibitor
PRISM	TG-100-115	TG-100-115	CID:10427712	10427712		PIK3CA, PIK3CB, PIK3CD, PIK3CG	PI3K inhibitor
PRISM	Evofosfamide	Evofosfamide	CID:11984561	11984561	UGJWRPJDTDGERK-UHFFFAOYSA-N		DNA alkylating agent
PRISM	nuelin	nuelin	CID:2153	2153	ZFXYFBGIUFBOJW-UHFFFAOYSA-N		adenosine receptor antagonist
PRISM	Thiamine	Thiamine	CID:23423984	23423984	MYVIATVLJGTBFV-UHFFFAOYSA-M	SLC19A2, SLC19A3, TPK1	vitamin B
PRISM	Thiocolchicoside	Thiocolchicoside	CID:71752520	71752520	LEQAKWQJCITZNK-ASKLJRATSA-N	GABRA1, GABRB2, GABRG2, GLRA1, GLRB	GABA receptor antagonist
PRISM	7H-Purine-6-thiol, 2-amino-	7H-Purine-6-thiol, 2-amino-	CID:2723601	2723601	WYWHKKSPHMUBEB-UHFFFAOYSA-N	IMPDH1, IMPDH2	purine antagonist
PRISM	Thimerosal	Thimerosal	CID:16684434	16684434	RTKIYNMVFMVABJ-UHFFFAOYSA-L	OXCT1	other antibiotic
PRISM	Thioproperazine	Thioproperazine	CID:9429	9429	VZYCZNZBPPHOFY-UHFFFAOYSA-N	ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A	dopamine receptor antagonist
PRISM	Thiostrepton	Thiostrepton	CID:16129666	16129666	NSFFHOGKXHRQEW-DVRIZHICSA-N	FOXM1	FOXM1 inhibitor, protein synthesis inhibitor
PRISM	Thiram	Thiram	CID:5455	5455	KUAZQDVKQLNFPE-UHFFFAOYSA-N	JAK2	
PRISM	Thonzonium	Thonzonium	CID:5456	5456	IOYZYMQFUSNATM-UHFFFAOYSA-N		ATPase inhibitor
PRISM	Tiagabine	Tiagabine	CID:60648	60648	PBJUNZJWGZTSKL-MRXNPFEDSA-N	SLC6A1	GABA uptake inhibitor
PRISM	Tideglusib	Tideglusib	CID:11313622	11313622	PMJIHLSCWIDGMD-UHFFFAOYSA-N	GSK3B	glycogen synthase kinase inhibitor
PRISM	Tiletamine	Tiletamine	CID:26533	26533	QAXBVGVYDCAVLV-UHFFFAOYSA-N		glutamate receptor antagonist
PRISM	Tilmicosin	Tilmicosin	CID:5282521	5282521	JTSDBFGMPLKDCD-XVFHVFLVSA-N		bacterial 50S ribosomal subunit inhibitor
PRISM	Tiludronic Acid	Tiludronic Acid	CID:60937	60937	DKJJVAGXPKPDRL-UHFFFAOYSA-N	ATP6V1A, MMP2, PTPN1	bone resorption inhibitor, osteoclast inhibitor
PRISM	Tiotidine	Tiotidine	CID:50287	50287	YDDXVAXDYKBWDX-UHFFFAOYSA-N	HRH2	histamine receptor antagonist
PRISM	Tioxolone	Tioxolone	CID:72139	72139	SLYPOVJCSQHITR-UHFFFAOYSA-N	CA2	carbonic anhydrase inhibitor
PRISM	Tipifarnib	Tipifarnib	CID:159324	159324	PLHJCIYEEKOWNM-HHHXNRCGSA-N	FNTA, FNTB	farnesyltransferase inhibitor
PRISM	Tipiracil	Tipiracil	CID:6323266	6323266	QQHMKNYGKVVGCZ-UHFFFAOYSA-N	TYMP	thymidine phosphorylase inhibitor
PRISM	Tipranavir	Tipranavir	CID:54682461	54682461	SUJUHGSWHZTSEU-FYBSXPHGSA-N		HIV protease inhibitor
PRISM	Tirapazamine	Tirapazamine	CID:54724399	54724399	QENGMPDKFVBFSH-UHFFFAOYSA-N		DNA inhibitor
PRISM	Tivantinib	Tivantinib	CID:11494412	11494412		MET	tyrosine kinase inhibitor
