TF	NES	p_value	FDR	regulon_size
PHF14	-2.47273865274467	0.0134082156208465	0.0664241356676905	149
PHF19	-2.07181756434054	0.0382824580314267	0.137804947714797	160
PHF2	-0.87286802643684	0.382735015629498	0.686034461977402	44
PHF20	1.69246699939906	0.0905569671137136	0.25884867590911	45
PHF20L1	0.0418528074806517	0.966616037580662	0.988291844401872	56
PHF21A	-0.179606041342426	0.85746186150875	0.964077448423947	168
PHF6	-0.602964006185985	0.546532634272672	0.81059042563472	130
PHF8	2.38659437731418	0.0170052419874989	0.0798356564238684	33
PHIP	0.471940358391584	0.63696936005383	0.867630344887034	105
PHOX2A	-0.146474611729948	0.88354673064728	0.970699299316569	113
PHOX2B	2.07615386618531	0.0378797225331168	0.137165362984268	34
PIAS1	2.41394754350886	0.0157807341281774	0.0754020284526818	114
PIAS2	-3.26466918516121	0.00109591991446583	0.0155814650632932	170
PIAS3	-0.690099821176391	0.490131415634702	0.769253873906747	104
PIAS4	-0.770202257362265	0.441179925082514	0.733970529332324	162
PITX1	-3.72770914008022	0.000193228196274023	0.0117818426196165	97
PITX2	-2.33926059153508	0.0193219509232478	0.0879012696930853	40
PITX3	-1.06064908592209	0.288849406238943	0.57935293656428	29
PKNOX1	-0.753248995313049	0.451300302141865	0.742209763705817	53
PKNOX2	2.6801679251501	0.00735852352484522	0.0421854039949638	150
PLAC8	2.3245768917621	0.0200945956231054	0.0903976934019924	153
PLAG1	-1.78637805911673	0.0740380656988203	0.222688154766778	54
PLAGL1	0.236596997465907	0.812969449753686	0.943886169196407	108
PLAGL2	-2.13003723140544	0.0331685396992208	0.124865248518046	106
PML	0.103234293719452	0.917777022852711	0.975138086781005	186
POGZ	0.608487878572418	0.542863942925098	0.81059042563472	121
POU1F1	1.69378734300474	0.0903057000774591	0.258588130540951	18
POU2AF1	0.711745052975871	0.476622663587452	0.761378069614688	103
POU2F1	-0.376111070003637	0.706834324862006	0.898884771744188	241
POU2F2	2.2930902410105	0.021842810118853	0.095340914437696	60
POU2F3	0.0951478138148464	0.924197420383575	0.976207837720345	38
POU3F1	-0.328484272648428	0.742545533795702	0.912721188032795	43
POU3F2	0.421250833491998	0.673571928347472	0.889232424528765	21
POU3F3	-0.656533090645515	0.511481183628789	0.785958241256416	20
