TF	NES	p_value	FDR	regulon_size
RPS6KA5	-3.1480388341103	0.00164369855067152	0.0161042440120006	54
RREB1	0.778098244678781	0.436511097455572	0.597392445079666	42
RRP8	1.66559662778512	0.0957937832632718	0.219439662628226	88
RSF1	0.135914443908641	0.891888916848239	0.94207781304672	44
RUNX1	2.39140105087971	0.0167842075097206	0.0678753264152123	52
RUNX1T1	2.24367225046804	0.0248534968085187	0.089210972754788	81
RUNX2	-0.661786405758844	0.508108119603042	0.666312368929929	68
RUNX3	-3.11051295291577	0.00186762704410391	0.0174482416997105	54
RUVBL1	-3.34087031175818	0.000835162240898671	0.0133653137298839	115
RUVBL2	-2.88572333874828	0.00390515275079849	0.0243704960151021	115
RXRA	-2.58081997993998	0.00985659651102156	0.0474508152036473	45
RXRB	0.998698961881574	0.317940543718974	0.479471426535417	35
RXRG	2.26315979059259	0.0236258409018578	0.0860115133188629	136
RYBP	2.51565022659261	0.0118813030302798	0.0535443744492345	49
SAFB	-2.72934676302608	0.00634599347388909	0.0335961339462268	100
SAFB2	-0.0178795552763376	0.985734938933918	0.992583840531132	71
SALL1	-1.56522095400965	0.117531109948486	0.248418027845663	57
SALL2	2.12621214972612	0.0334855989126251	0.10961845660037	62
SALL3	-0.828085742237985	0.407621943460656	0.572798417802542	142
SALL4	-1.3915053586161	0.16407223583669	0.312271436764529	94
SAMD1	-2.98977660852702	0.00279181542702322	0.0207271892774002	48
SAMD11	3.0745633378451	0.00210810953643832	0.0185913453084172	45
SAMD13	1.94766094786979	0.0514555458066154	0.144216502356624	139
SAMD7	1.26068182747209	0.207423503857044	0.36148934317846	362
SAP130	-1.82755652626612	0.0676161353961724	0.172299114297103	38
SAP18	0.361626239633003	0.717631353530334	0.831285547638234	152
SAP30	-1.31024218768736	0.190113918061089	0.34096825781049	43
SAP30L	1.79923951809124	0.0719808007729715	0.179382117395249	37
SATB1	-0.270539772779688	0.78674502301453	0.873402233905441	33
SATB2	-1.18937558141743	0.234291905336984	0.391634998627017	44
SBNO1	-2.21612993172252	0.0266826048618775	0.094778836019794	65
SBNO2	0.0967031100645003	0.922962169934737	0.961115235997693	59
SCAND2P	0.0128114026703607	0.989778259227047	0.994499763906165	393
SCMH1	3.03877887912901	0.00237539134509834	0.0195683419606718	45
SCML1	-2.78677737353505	0.00532350375358926	0.0291226970049295	58
SCML2	-3.10660000941187	0.00189252280788843	0.0176004621133624	85
SCML4	1.62186096556981	0.104833121106157	0.230203435748074	320
SCRT1	0.289123574903229	0.772486813469893	0.864389741125029	91
SCRT2	-0.905844310904757	0.365018263711209	0.528318607289766	250
SCX	2.27912086280951	0.0226598816585889	0.0838374645089925	81
SEMA4D	0.607243312977174	0.543689451907057	0.694529102219633	51
SERTAD3	1.38206599628248	0.166951438047268	0.315538901528807	146
SETBP1	-1.037977467028	0.299280545669438	0.463533683905883	55
SETD3	0.789336352559221	0.429915445037765	0.591531271383501	63
SETD5	0.0253187150838617	0.979800746237568	0.989264996383683	47
SFMBT1	0.799877758889327	0.423781625064118	0.586642222517716	28
SFMBT2	1.86431482747864	0.0622775057854241	0.163093814959427	57
SFPQ	-1.90786635497678	0.0564084918121112	0.153043517419899	117
SFR1	0.208011614492815	0.835219898651556	0.906556982833466	115
SHOX	-0.673860403762069	0.500400067985222	0.660528089740494	643
SHOX2	-3.59417974953486	0.000325415130510247	0.0111506849976282	31
SIM1	2.26995053654108	0.0232105843541727	0.0849674498193794	182
SIM2	-1.79568302840251	0.0725449425533542	0.179911457532318	25
SIN3A	-2.12407913926795	0.0336635265489742	0.109674482992359	52
SIN3B	-1.49986755788346	0.133648713114627	0.270470095976781	70
SIRT1	2.30679943470519	0.0210660037854195	0.0795222209316758	53
SIRT6	-1.31330309859626	0.189080834840032	0.340245723907394	102
SIRT7	-0.0962711803679968	0.923305199483168	0.961115235997693	72
SIX1	0.94251576412312	0.345928644102818	0.50904880469175	47
SIX2	-1.71907020122267	0.0856015899817915	0.202474974685255	31
SIX3	-0.856838292540493	0.391534259741236	0.557466315539714	80
SIX4	-0.88914151705188	0.373927028706049	0.539530818570223	21
SIX5	-1.47116128480289	0.141247504482341	0.279760304134433	36
SIX6	-0.288147175203817	0.773234082637533	0.864389741125029	252
SKI	0.590222003695132	0.555041822117347	0.704476158841248	72
SKIL	-2.14363476839432	0.0320621626618284	0.106147548229937	34
SKOR1	-0.777277571841126	0.436995024389552	0.597654959826887	109
SKOR2	2.05714812455865	0.0396719797377641	0.121117978122228	175
SLC2A4RG	-0.219761075221551	0.826057236005909	0.900967677619439	78
SLC30A9	2.92574739168481	0.00343629836517474	0.0232286443584664	116
SLTM	-1.11989349745692	0.262759149604265	0.424802842732967	55
SMAD1	-3.14997618999806	0.00163283769324374	0.0161042440120006	35
SMAD2	-1.96165213833872	0.0498029976530319	0.140547494066349	43
SMAD3	-3.18811669651868	0.00143202730224158	0.0155022638115676	37
SMAD4	-0.563167829715618	0.57332060677574	0.720522464402175	46
SMAD5	0.360141896116443	0.718741023348991	0.831285547638234	57
SMAD6	2.89515928197489	0.00378966183550188	0.0243474128892202	57
SMAD7	2.97445272524181	0.00293511678600473	0.0213709926838636	33
SMAD9	2.11243360179281	0.0346492754540918	0.111171308949745	84
SMARCA2	-1.19797822913714	0.230925492590133	0.388465561143682	52
SMARCA4	-1.53859697882669	0.123902716572101	0.256324527913568	15
SMARCA5	0.165423828538909	0.868610399581225	0.92657814261897	84
SMARCB1	-3.12705408159248	0.00176567444153902	0.0167271866960141	99
SMARCC1	0.277509373050979	0.781389009691488	0.870289555704292	46
SMARCC2	-0.0709103810570617	0.943469081287159	0.971483512991207	32
SMARCD1	-2.96233216682031	0.00305318209497585	0.0220735355700374	46
SMARCD2	-2.04424871503002	0.0409289828469129	0.123148086624682	36
SMARCD3	2.087559946966	0.0368375481891487	0.115607293408076	139
SMARCE1	-0.170613583138251	0.864527616732222	0.926132744514778	39
SNAI1	-0.167680166403656	0.866834900169013	0.926132744514778	162
SNAI2	-3.68518150911919	0.000228539710016234	0.0111506849976282	188
SNAI3	1.90619735398163	0.0566246054187992	0.153043517419899	96
SOHLH1	-3.1106588928742	0.00186670436008393	0.0174482416997105	83
SOHLH2	0.635543700646846	0.525073874602046	0.679937435085941	225
SOX1	-1.9943103778018	0.0461181458227698	0.133840746600549	73
SOX10	-0.28686932105625	0.774212381874456	0.864434920377498	121
SOX11	-0.265488987628192	0.79063279217886	0.875612411558268	96
SOX12	-1.9803898698758	0.0476597373593778	0.136441494248056	60
SOX13	-3.07675055904554	0.00209270341910085	0.0185353731406075	36
SOX14	1.23725157628601	0.215993699114612	0.371676289645498	164
SOX15	-3.71115564179853	0.000206315194740704	0.0111506849976282	68
SOX17	1.81319657703519	0.0698015076025817	0.175601669789515	63
SOX18	1.58342465019647	0.113324708249886	0.243297327470374	47
SOX2	-3.36977887215191	0.000752285265309945	0.0131492154122738	425
SOX21	-2.35715316384561	0.0184156494151086	0.0727382600450042	46
SOX3	0.761060002691881	0.446621229035161	0.607167464854445	146
SOX30	0.80473406426045	0.420973157885551	0.583939715955145	136
SOX4	0.473680825628501	0.635727528653787	0.771098743284954	33
SOX5	-2.53661067389908	0.0111931356412937	0.0514341055078498	96
SOX6	-2.42771170521742	0.0151944160168297	0.0633152243797017	70
SOX7	-2.35277161923838	0.01863407490349	0.0730370062309206	71
SOX8	0.512639580357422	0.608203460973019	0.752327623781513	59
SOX9	-1.42058282487532	0.155438074464665	0.30173273278435	84
SP1	-1.04353997358821	0.29669827730288	0.461872706792225	26
SP100	2.81422127129281	0.0048895559490379	0.0274940099566799	139
SP110	2.55007249082988	0.0107700522431548	0.0503094221221339	58
SP140	1.28061262594664	0.200329762980044	0.351823772581262	204
SP140L	2.30788262853945	0.0210056655040658	0.0794985050424301	53
SP2	-1.19761545005611	0.231066758510196	0.388465561143682	26
SP3	-1.47421069654442	0.140424870746639	0.279459271320034	90
SP4	2.16112520043468	0.0306856694103461	0.103091756344119	48
SP5	3.51921296875588	0.00043282910711195	0.0111506849976282	48
SP6	-1.73886397365779	0.0820586924944993	0.196594947123824	101
SP7	-1.38183362823837	0.16702279098519	0.315538901528807	183
SP8	-2.38849044375782	0.0169177482957292	0.0682716232999247	82
SP9	-2.097862085451	0.0359173301271728	0.113933112310381	36
SPAG8	1.27767297194158	0.201364759035396	0.352733130981524	716
SPDEF	3.62059223657497	0.00029392944153033	0.0111506849976282	139
SPEN	-1.45858653401654	0.144678942117969	0.285451413281934	71
SPI1	1.91451800719806	0.0555540005146382	0.152568436312684	405
SPIB	0.30995802269519	0.756592878318832	0.856497651595869	110
