cohort	endpoint	model	TF	n	events	beta	HR	lower95	upper95	p_value	model_likelihood_p	FDR	log2_HR	log2_lower95	log2_upper95	direction	nominal_significant	FDR_significant
GSE41271_LUAD	OS	multivariable	ZNF254	178	69	0.214392446900076	1.23910884381014	0.763686284874613	2.01049928120757	0.385283951471768	0.00145366527619365	0.702315783076227	0.30930291994679	-0.388947980453371	1.00755382034695	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF281	178	69	0.0812175993651802	1.08460688065954	0.675704559530711	1.74095626406757	0.736579779731636	0.736558945768865	0.86258647940481	0.117172227837052	-0.565535504692636	0.79987996036674	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF281	178	69	0.143146547060788	1.15389888976677	0.697913961898128	1.90780342634746	0.576849365992749	0.00173426671736745	0.745097097740635	0.206516813564978	-0.51887890142334	0.931912528553296	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF33A	178	69	-0.485228606614597	0.615556460399761	0.379946100815807	0.997272389758181	0.0487171259223951	0.0464408752156541	0.215747271942036	-0.70003690446034	-1.39613332264958	-0.00394048627109813	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF33A	178	69	-0.220625583624435	0.802016912346252	0.480694049422367	1.33812999861838	0.398259413227267	0.00147220814342623	0.702315783076227	-0.318295435388205	-1.056809150621	0.420218279844585	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF33B	178	69	-0.0655313787905106	0.936569657875443	0.582360190199397	1.50622027194646	0.786912924378354	0.786828026884075	0.871225023418892	-0.0945417952036858	-0.780016357765796	0.590932767358424	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF33B	178	69	-0.181482097217152	0.834033176684673	0.507200431818459	1.37147229413185	0.474508390342033	0.0015991440923441	0.724383632313835	-0.261823321665314	-0.979372121133063	0.455725477802435	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF341	178	69	0.383416251480401	1.46728866404952	0.910238499426956	2.36524386191488	0.115510534829554	0.113584043773608	0.325529689065108	0.553152724607011	-0.135683487093994	1.24198893630802	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF341	178	69	0.33018994818283	1.39123236542703	0.849929822717574	2.27727918573678	0.189097323172888	0.000976780768307693	0.589210309792228	0.476363400794753	-0.23458436963351	1.18731117122302	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF444	178	69	-0.0434602827990271	0.9574705813873	0.593947978307176	1.54348520022744	0.858418704257312	0.858390064354982	0.887032661065889	-0.0626999344697883	-0.751591518617043	0.626191649677466	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF444	178	69	0.181889774235378	1.19948197277532	0.706891779228206	2.0353285259362	0.500181309927482	0.00163888541750626	0.724383632313835	0.262411475277793	-0.500438730660914	1.0252616812165	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF540	178	69	-0.740056689440258	0.477086868966858	0.291424194774606	0.781032888215201	0.00325421778868301	0.00260845883801174	0.0504403757245866	-1.06767611583216	-1.77880743631705	-0.356544795347275	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF540	178	69	-0.474935467822721	0.621925189356649	0.365468201833023	1.05834362392223	0.0799608685964623	0.000546848335074806	0.589210309792228	-0.685187044170119	-1.45218220732379	0.0818081189835487	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF678	178	69	-0.0765269100648992	0.926327986407186	0.577086628371585	1.48692327323979	0.751284998191286	0.751180454692408	0.86258647940481	-0.110404993645186	-0.793140192063116	0.572330204772745	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF678	178	69	-0.0096952463222529	0.990351601057169	0.60634432567851	1.61755664591892	0.969104142956834	0.00196329154276688	0.986608861809468	-0.0139872837893113	-0.721790803045462	0.693816235466839	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF75D	178	69	-0.53121964201487	0.587887519932037	0.362038582239739	0.954626807877013	0.0317377685698374	0.0294980761992368	0.16397847094416	-0.766387943157663	-1.46578464222011	-0.0669912440952207	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF75D	178	69	-0.30611427701344	0.736302472200631	0.442912686013896	1.2240365825777	0.237830994513218	0.00111201844934821	0.639428233947125	-0.441629549392601	-1.17490577504677	0.291646676261572	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ABHD14B	177	69	-0.432666986415251	0.648776507225317	0.402622829712705	1.0454224779748	0.0754902638667185	0.0739007635952534	0.351761915426103	-0.624206515657655	-1.31249911592294	0.064086084607632	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ABHD14B	177	69	-0.54351571899479	0.580703070522863	0.349060956187762	0.966066385073704	0.0363581176524605	7.1683567065346e-05	0.319001048156569	-0.784127432438983	-1.51844909996875	-0.0498057649092121	Favorable	TRUE	FALSE
GSE41271_LUAD	RFS	univariable	CREB3L2	177	69	0.0810642678409113	1.0844405889825	0.676032726320321	1.73957760511653	0.736716380571926	0.736700650300975	0.854536245046115	0.116951017207378	-0.564835006727222	0.798737041141977	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	CREB3L2	177	69	-0.0192488845868738	0.980935192208925	0.593208993511714	1.62208237204509	0.940206566904989	0.000464310005825832	0.978208390057284	-0.0277702703361269	-0.753387624545265	0.697847083873012	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	CREBRF	177	69	-0.176730300245089	0.838005763997484	0.52121230770866	1.34734665721966	0.465735570610944	0.464693053597264	0.721890134446963	-0.254967927738407	-0.940056943328587	0.430121087851773	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	CREBRF	177	69	-0.137867826043003	0.871213835916184	0.526232054791828	1.44235521378881	0.591966551937298	0.000413303386096454	0.868034904542041	-0.198901228930383	-0.926228963676054	0.528426505815288	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	CRY2	177	69	-0.230025225036387	0.79451356061708	0.495064304380361	1.27509051333145	0.340556057208799	0.340830172443629	0.703815851564852	-0.331856251439364	-1.01431216447229	0.350599661593566	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	CRY2	177	69	-0.12522640773387	0.882297121077626	0.518719847053163	1.50071028568545	0.644025896918288	0.000426165664064571	0.868034904542041	-0.180663517425994	-0.946972524304209	0.585645489452222	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	CSRNP1	177	69	-0.242349489770743	0.784781856387329	0.489140024526351	1.25911299675613	0.315023680273421	0.315332721254537	0.703815851564852	-0.349636407054222	-1.03168057496087	0.332407760852429	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	CSRNP1	177	69	-0.275604522708227	0.759113083391924	0.463881579197645	1.24224090633975	0.272748886983646	0.000283566275334612	0.855515978709734	-0.397613278157728	-1.1081715371839	0.312944980868444	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	E2F5	177	69	-0.526662995772857	0.590572427832643	0.36590216795846	0.953194113230119	0.0310662768501142	0.0296964255627587	0.192610916470708	-0.759814092221226	-1.45047013126378	-0.0691580531786696	Favorable	TRUE	FALSE
GSE41271_LUAD	RFS	multivariable	E2F5	177	69	-0.420145076145601	0.656951504909085	0.398286941876784	1.08360389062373	0.0998670247709996	0.000148526136392386	0.442268252557284	-0.606141217809175	-1.32811991420215	0.115837478583803	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ELF3	177	69	0.193951670666932	1.21403760791047	0.754841598687835	1.95257828395134	0.423736317752075	0.42297326481359	0.721890134446963	0.279813113443312	-0.405754164043665	0.96538039093029	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ELF3	177	69	0.107102211844465	1.113048015356	0.672972473096299	1.84090127607738	0.676530643022687	0.000433109028960086	0.87385208057097	0.154515829896248	-0.571380600066104	0.880412259858601	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ETV1	177	69	-0.562682035547017	0.569679113442599	0.351822495755746	0.922437582041528	0.022120247225341	0.0206620507908061	0.186760651987831	-0.811778582280989	-1.50708036228314	-0.116476802278838	Favorable	TRUE	FALSE
GSE41271_LUAD	RFS	multivariable	ETV1	177	69	-0.585180309343142	0.557005419475788	0.333900900734225	0.929182990052346	0.025007881483475	5.49183883883585e-05	0.319001048156569	-0.844236730315221	-1.58250810965331	-0.105965350977131	Favorable	TRUE	FALSE
GSE41271_LUAD	RFS	univariable	FOXA3	177	69	0.051911277875099	1.05328228892493	0.656167911533385	1.69073123001459	0.829774699361205	0.82972098332266	0.887000540696461	0.0748921431566143	-0.607863051173651	0.757647337486879	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	FOXA3	177	69	0.0683834169001629	1.07077578331386	0.651839120469681	1.75896282092621	0.787133922456287	0.000451614068072356	0.976046063845796	0.0986564164409077	-0.617412156106426	0.814724988988241	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	FOXD2	177	69	-0.30773331762106	0.73511133311012	0.456707636669846	1.18322670496001	0.205094120957387	0.203645932694437	0.635791774967901	-0.443965331248212	-1.1306571814715	0.242726518975079	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	FOXD2	177	69	-0.445139256358279	0.640735043390592	0.384311620291107	1.06825132042005	0.0878573710072214	0.000136606888669118	0.442268252557284	-0.64220019765309	-1.37965149558032	0.0952511002741429	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	MAGED2	177	69	-0.199744616589488	0.818939870031358	0.510287301216409	1.31428414763266	0.407888646229681	0.407603927057643	0.721890134446963	-0.288170567797922	-0.970618354987498	0.394277219391654	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	MAGED2	177	69	-0.216638848024469	0.805220723853709	0.492406937964432	1.31675726748254	0.387945777620818	0.000341853013089029	0.85902279330324	-0.3125437917088	-1.02207700549317	0.396989422075571	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	MXD4	177	69	-0.203609804525201	0.81578062300057	0.507603022965635	1.31106001098077	0.400278295503381	0.400043940536892	0.721890134446963	-0.293746855264879	-0.97822743389482	0.390733723365062	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	MXD4	177	69	-0.180784811849252	0.834614938618589	0.501424457471449	1.38920646048657	0.486788370958189	0.000381067925072728	0.868034904542041	-0.260817351522961	-0.995895728128682	0.47426102508276	Favorable	FALSE	FALSE
