component	eligibility_required	anchor_program	left_run	left_k	left_program	right_run	right_k	right_program	expected_right_program	connects_expected_program	cosine	top_gene_jaccard	cosine_null_q99	jaccard_null_q99	exceeds_both_nulls	component_pass	source_file
adjacent_K9_descriptive	False	3								False					False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K11_descriptive	False	3	seed_20260812	10.0	3.0	seed_20260812	11.0	2.0		True	0.9906440850980665	0.8867924528301887	0.0421526941309638	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cross_seed	True	4	seed_20260812	10.0	4.0	seed_20260813	10.0	4.0		True	0.9999733623016248	0.9607843137254902	0.0415525974274892	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cell_resample	True	4	seed_20260812	10.0	4.0	cell_resample_20260813	10.0	9.0		True	0.8503596981877924	0.25	0.0445423284711832	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_A	True	4	seed_20260812	10.0	4.0	patient_holdout_A	10.0	4.0		True	0.7110663006270272	0.2345679012345679	0.0393141266082818	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_B	True	4	seed_20260812	10.0	4.0	patient_holdout_B	10.0	5.0		True	0.3039740893893625	0.0	0.0303334754263743	0.0101010101010101	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
exclude_high_unresolved	True	4	primary_seed_20260812	10.0	4.0	exclude_high_unresolved	10.0	3.0		True	0.9751790680645308	0.6666666666666666	0.0390430173505663	0.0102040816326529	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
include_one_method	True	4	primary_seed_20260812	10.0	4.0	include_one_method	10.0	9.0		True	0.8082083617530198	0.25	0.0355291457260045	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
holdout_A_to_B_bridge	True	4	patient_holdout_A	10.0	4.0	patient_holdout_B	10.0	5.0	5.0	True	0.1941949047456276	0.0204081632653061	0.0286751484030765	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K9_descriptive	False	4	seed_20260812	9.0	4.0	seed_20260812	10.0	4.0		True	0.9953152483979992	0.7241379310344828	0.043335381820764	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K11_descriptive	False	4	seed_20260812	10.0	4.0	seed_20260812	11.0	4.0		True	0.9986203913266858	0.8867924528301887	0.0421526941309638	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cross_seed	True	5	seed_20260812	10.0	5.0	seed_20260813	10.0	6.0		True	0.9998981697424576	1.0	0.0415525974274892	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cell_resample	True	5	seed_20260812	10.0	5.0	cell_resample_20260813	10.0	6.0		True	0.9856637661534086	0.8181818181818182	0.0445423284711832	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_A	True	5	seed_20260812	10.0	5.0	patient_holdout_A	10.0	10.0		True	0.279190435095611	0.0	0.0393141266082818	0.0101010101010101	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_B	True	5	seed_20260812	10.0	5.0	patient_holdout_B	10.0	4.0		True	0.8689532762167416	0.3888888888888889	0.0303334754263743	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
exclude_high_unresolved	True	5	primary_seed_20260812	10.0	5.0	exclude_high_unresolved	10.0	4.0		True	0.9778555734740724	0.639344262295082	0.0390430173505663	0.0102040816326529	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
include_one_method	True	5	primary_seed_20260812	10.0	5.0	include_one_method	10.0	4.0		True	0.9480255332576007	0.6666666666666666	0.0355291457260045	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
holdout_A_to_B_bridge	True	5	patient_holdout_A	10.0	10.0	patient_holdout_B	10.0	9.0	4.0	False	0.124104273019838	0.0	0.0286751484030765	0.0101010101010101	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
